PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
86447,2001/01/02,,11,1,7011,70069010,PPE,PARK PLACE ENTERTAINMENT CORP,,,,N,A,R,34953,0,1,7011,12768710,,,,,,,,,,,,,,,,,,,,,,,,,11.312,12.125,11.500,560200.000,-0.036649,,,297404.000,1.000,1.000,12.062,,-0.036649,-0.034,-0.034,-0.001,-0.001,-0.028
86447,2001/01/03,,11,1,7011,70069010,PPE,PARK PLACE ENTERTAINMENT CORP,,,,N,A,R,34953,0,1,7011,12768710,,,,,,,,,,,,,,,,,,,,,,,,,11.125,12.000,11.938,2834800.000,0.038043,,,297404.000,1.000,1.000,11.500,,0.038043,0.053,0.053,0.046,0.046,0.050
86447,2001/01/04,,11,1,7011,70069010,PPE,PARK PLACE ENTERTAINMENT CORP,,,,N,A,R,34953,0,1,7011,12768710,,,,,,,,,,,,,,,,,,,,,,,,,9.438,10.375,10.000,9435600.000,-0.162304,,,297404.000,1.000,1.000,10.000,,-0.162304,-0.012,-0.012,0.011,0.011,-0.011
86447,2001/01/05,,11,1,7011,70069010,PPE,PARK PLACE ENTERTAINMENT CORP,,,,N,A,R,34953,0,1,7011,12768710,,,,,,,,,,,,,,,,,,,,,,,,,9.750,10.188,10.188,2402600.000,0.018750,,,297404.000,1.000,1.000,9.750,,0.018750,-0.029,-0.029,-0.009,-0.009,-0.026
86447,2001/01/08,,11,1,7011,70069010,PPE,PARK PLACE ENTERTAINMENT CORP,,,,N,A,R,34953,0,1,7011,12768710,,,,,,,,,,,,,,,,,,,,,,,,,9.875,10.188,10.188,736400.000,0.000000,,,297404.000,1.000,1.000,10.062,,0.000000,-0.003,-0.004,-0.005,-0.005,-0.002
86447,2001/01/09,,11,1,7011,70069010,PPE,PARK PLACE ENTERTAINMENT CORP,,,,N,A,R,34953,0,1,7011,12768710,,,,,,,,,,,,,,,,,,,,,,,,,10.125,10.500,10.500,1657100.000,0.030675,,,297404.000,1.000,1.000,10.250,,0.030675,0.005,0.005,0.012,0.012,0.004
86447,2001/01/10,,11,1,7011,70069010,PPE,PARK PLACE ENTERTAINMENT CORP,,,,N,A,R,34953,0,1,7011,12768710,,,,,,,,,,,,,,,,,,,,,,,,,9.938,10.438,10.062,1446900.000,-0.041667,,,297404.000,1.000,1.000,10.375,,-0.041667,0.014,0.014,0.021,0.020,0.010
86447,2001/01/11,,11,1,7011,70069010,PPE,PARK PLACE ENTERTAINMENT CORP,,,,N,A,R,34953,0,1,7011,12768710,,,,,,,,,,,,,,,,,,,,,,,,,9.938,10.125,10.000,1666700.000,-0.006211,,,297404.000,1.000,1.000,10.000,,-0.006211,0.015,0.015,0.027,0.027,0.010
86447,2001/01/12,,11,1,7011,70069010,PPE,PARK PLACE ENTERTAINMENT CORP,,,,N,A,R,34953,0,1,7011,12768710,,,,,,,,,,,,,,,,,,,,,,,,,9.938,10.000,10.000,729800.000,0.000000,,,297404.000,1.000,1.000,10.000,,0.000000,-0.004,-0.004,0.019,0.019,-0.006
86447,2001/01/16,,11,1,7011,70069010,PPE,PARK PLACE ENTERTAINMENT CORP,,,,N,A,R,34953,0,1,7011,12768710,,,,,,,,,,,,,,,,,,,,,,,,,9.875,10.312,10.312,1250400.000,0.031250,,,297404.000,1.000,1.000,9.938,,0.031250,0.006,0.006,0.019,0.019,0.006
86447,2001/01/17,,11,1,7011,70069010,PPE,PARK PLACE ENTERTAINMENT CORP,,,,N,A,R,34953,0,1,7011,12768710,,,,,,,,,,,,,,,,,,,,,,,,,9.938,10.312,10.000,1271600.000,-0.030303,,,297404.000,1.000,1.000,10.312,,-0.030303,0.004,0.004,0.013,0.013,0.002
86447,2001/01/18,,11,1,7011,70069010,PPE,PARK PLACE ENTERTAINMENT CORP,,,,N,A,R,34953,0,1,7011,12768710,,,,,,,,,,,,,,,,,,,,,,,,,10.000,10.125,10.062,717900.000,0.006250,,,297404.000,1.000,1.000,10.062,,0.006250,0.012,0.012,0.009,0.008,0.014
86447,2001/01/19,,11,1,7011,70069010,PPE,PARK PLACE ENTERTAINMENT CORP,,,,N,A,R,34953,0,1,7011,12768710,,,,,,,,,,,,,,,,,,,,,,,,,10.062,10.250,10.188,1815900.000,0.012422,10.125,10.312,297404.000,1.000,1.000,10.125,,0.012422,-0.004,-0.004,0.004,0.004,-0.004
86447,2001/01/22,,11,1,7011,70069010,PPE,PARK PLACE ENTERTAINMENT CORP,,,,N,A,R,34953,0,1,7011,12768710,,,,,,,,,,,,,,,,,,,,,,,,,10.000,10.188,10.000,733800.000,-0.018405,9.938,10.125,297404.000,1.000,1.000,10.125,,-0.018405,0.000,0.000,0.005,0.005,0.000
86447,2001/01/23,,11,1,7011,70069010,PPE,PARK PLACE ENTERTAINMENT CORP,,,,N,A,R,34953,0,1,7011,12768710,,,,,,,,,,,,,,,,,,,,,,,,,10.000,10.250,10.062,868800.000,0.006250,,,297404.000,1.000,1.000,10.000,,0.006250,0.016,0.016,0.015,0.015,0.013
86447,2001/01/24,,11,1,7011,70069010,PPE,PARK PLACE ENTERTAINMENT CORP,,,,N,A,R,34953,0,1,7011,12768710,,,,,,,,,,,,,,,,,,,,,,,,,9.875,10.250,10.250,1660600.000,0.018634,,,297404.000,1.000,1.000,9.875,,0.018634,0.003,0.003,0.007,0.007,0.003
86447,2001/01/25,,11,1,7011,70069010,PPE,PARK PLACE ENTERTAINMENT CORP,,,,N,A,R,34953,0,1,7011,12768710,,,,,,,,,,,,,,,,,,,,,,,,,10.188,10.688,10.562,1268100.000,0.030488,,,297404.000,1.000,1.000,10.250,,0.030488,-0.008,-0.008,-0.003,-0.003,-0.005
86447,2001/01/26,,11,1,7011,70069010,PPE,PARK PLACE ENTERTAINMENT CORP,,,,N,A,R,34953,0,1,7011,12768710,,,,,,,,,,,,,,,,,,,,,,,,,10.688,10.938,10.812,2598700.000,0.023669,,,297404.000,1.000,1.000,10.750,,0.023669,-0.001,-0.001,0.002,0.002,-0.002
86447,2001/01/29,,11,1,7011,70069010,PPE,PARK PLACE ENTERTAINMENT CORP,,,,N,A,R,34953,0,1,7011,12768710,,,,,,,,,,,,,,,,,,,,,,,,,10.690,11.340,11.220,779500.000,0.037688,,,297404.000,1.000,1.000,10.690,,0.037688,0.009,0.009,0.010,0.010,0.007
86447,2001/01/30,,11,1,7011,70069010,PPE,PARK PLACE ENTERTAINMENT CORP,,,,N,A,R,34953,0,1,7011,12768710,,,,,,,,,,,,,,,,,,,,,,,,,11.020,11.800,11.800,794200.000,0.051693,,,297404.000,1.000,1.000,11.020,,0.051693,0.007,0.007,0.010,0.009,0.007
86447,2001/01/31,,11,1,7011,70069010,PPE,PARK PLACE ENTERTAINMENT CORP,,,,N,A,R,34953,0,1,7011,12768710,,,,,,,,0.000,,,,,,,,,,,,,,,,,11.070,11.700,11.250,1383700.000,-0.046610,,,297404.000,1.000,1.000,11.700,,-0.046610,-0.007,-0.007,-0.000,-0.000,-0.006
86447,2001/02/01,,11,1,7011,70069010,PPE,PARK PLACE ENTERTAINMENT CORP,,,,N,A,R,34953,0,1,7011,12768710,,,,,,,,,,,,,,,,,,,,,,,,,11.150,11.590,11.500,705600.000,0.022222,,,297404.000,1.000,1.000,11.150,,0.022222,0.004,0.004,0.002,0.002,0.005
