PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
77182,2001/01/02,,11,3,2830,71429010,PRGO,PERRIGO CO,,PRGO,,Q,A,R,11257,15276,1,2834,G9782210,,,,,,,,,,,,,,,,,,,,,,,,,7.750,8.625,8.250,147088.000,-0.003774,8.250,8.312,73464.000,1.000,1.000,8.531,285.000,-0.003774,-0.034,-0.034,-0.001,-0.001,-0.028
77182,2001/01/03,,11,3,2830,71429010,PRGO,PERRIGO CO,,PRGO,,Q,A,R,11257,15276,1,2834,G9782210,,,,,,,,,,,,,,,,,,,,,,,,,8.125,8.625,8.562,265955.000,0.037879,8.531,8.562,73464.000,1.000,1.000,8.125,346.000,0.037879,0.053,0.053,0.046,0.046,0.050
77182,2001/01/04,,11,3,2830,71429010,PRGO,PERRIGO CO,,PRGO,,Q,A,R,11257,15276,1,2834,G9782210,,,,,,,,,,,,,,,,,,,,,,,,,8.062,8.562,8.188,278487.000,-0.043796,8.125,8.250,73464.000,1.000,1.000,8.250,278.000,-0.043796,-0.012,-0.012,0.011,0.011,-0.011
77182,2001/01/05,,11,3,2830,71429010,PRGO,PERRIGO CO,,PRGO,,Q,A,R,11257,15276,1,2834,G9782210,,,,,,,,,,,,,,,,,,,,,,,,,7.375,8.438,8.344,213098.000,0.019084,8.344,8.375,73464.000,1.000,1.000,8.125,326.000,0.019084,-0.029,-0.029,-0.009,-0.009,-0.026
77182,2001/01/08,,11,3,2830,71429010,PRGO,PERRIGO CO,,PRGO,,Q,A,R,11257,15276,1,2834,G9782210,,,,,,,,,,,,,,,,,,,,,,,,,7.875,8.562,8.500,158280.000,0.018727,8.500,8.531,73464.000,1.000,1.000,8.188,271.000,0.018727,-0.003,-0.004,-0.005,-0.005,-0.002
77182,2001/01/09,,11,3,2830,71429010,PRGO,PERRIGO CO,,PRGO,,Q,A,R,11257,15276,1,2834,G9782210,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,24.000,1.000,8.250,8.562,8.562,245842.000,0.007353,8.531,8.562,73464.000,1.000,1.000,8.531,208.000,0.007353,0.005,0.005,0.012,0.012,0.004
77182,2001/01/10,,11,3,2830,71429010,PRGO,PERRIGO CO,,PRGO,,Q,A,R,11257,15276,1,2834,G9782210,,,,,,,,,,,,,,,,,,,,,,,,,8.406,9.250,9.219,282547.000,0.076642,9.219,9.250,73464.000,1.000,1.000,8.547,284.000,0.076642,0.014,0.014,0.021,0.020,0.010
77182,2001/01/11,,11,3,2830,71429010,PRGO,PERRIGO CO,,PRGO,,Q,A,R,11257,15276,1,2834,G9782210,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,25.000,1.000,9.250,10.375,9.812,944896.000,0.064407,9.812,9.875,73464.000,1.000,1.000,9.312,882.000,0.064407,0.015,0.015,0.027,0.027,0.010
77182,2001/01/12,,11,3,2830,71429010,PRGO,PERRIGO CO,,PRGO,,Q,A,R,11257,15276,1,2834,G9782210,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,24.000,1.000,9.438,10.000,9.594,447249.000,-0.022293,9.562,9.594,73464.000,1.000,1.000,9.500,522.000,-0.022293,-0.004,-0.004,0.019,0.019,-0.006
77182,2001/01/16,,11,3,2830,71429010,PRGO,PERRIGO CO,,PRGO,,Q,A,R,11257,15276,1,2834,G9782210,,,,,,,,,,,,,,,,,,,,,,,,,9.312,9.969,9.969,522492.000,0.039088,9.938,9.969,73464.000,1.000,1.000,9.750,506.000,0.039088,0.006,0.006,0.019,0.019,0.006
