PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
85516,2001/01/02,,11,3,3670,73930810,PWER,POWER ONE INC,,PWER,,Q,A,R,15736,21082,3,3679,73930R10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,41.000,2.000,33.062,38.062,34.438,2709093.000,-0.124006,34.438,34.875,78498.000,1.000,1.000,36.500,6973.000,-0.124006,-0.034,-0.034,-0.001,-0.001,-0.028
85516,2001/01/03,,11,3,3670,73930810,PWER,POWER ONE INC,,PWER,,Q,A,R,15736,21082,3,3679,73930R10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,40.000,2.000,31.562,43.375,41.438,4186723.000,0.203267,41.438,41.500,78498.000,1.000,1.000,31.625,9557.000,0.203267,0.053,0.053,0.046,0.046,0.050
85516,2001/01/04,,11,3,3670,73930810,PWER,POWER ONE INC,,PWER,,Q,A,R,15736,21082,3,3679,73930R10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,42.000,2.000,39.500,43.875,41.125,2325464.000,-0.007541,41.125,41.188,78498.000,1.000,1.000,41.188,6512.000,-0.007541,-0.012,-0.012,0.011,0.011,-0.011
85516,2001/01/05,,11,3,3670,73930810,PWER,POWER ONE INC,,PWER,,Q,A,R,15736,21082,3,3679,73930R10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,41.000,2.000,34.438,42.438,35.812,2069280.000,-0.129179,35.750,35.812,78498.000,1.000,1.000,41.938,6274.000,-0.129179,-0.029,-0.029,-0.009,-0.009,-0.026
85516,2001/01/08,,11,3,3670,73930810,PWER,POWER ONE INC,,PWER,,Q,A,R,15736,21082,3,3679,73930R10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,42.000,2.000,32.562,35.938,35.875,1143437.000,0.001745,35.812,35.875,78498.000,1.000,1.000,33.312,3893.000,0.001745,-0.003,-0.004,-0.005,-0.005,-0.002
85516,2001/01/09,,11,3,3670,73930810,PWER,POWER ONE INC,,PWER,,Q,A,R,15736,21082,3,3679,73930R10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,40.000,2.000,34.812,39.500,37.000,1689105.000,0.031359,36.938,37.000,78498.000,1.000,1.000,36.062,4956.000,0.031359,0.005,0.005,0.012,0.012,0.004
85516,2001/01/10,,11,3,3670,73930810,PWER,POWER ONE INC,,PWER,,Q,A,R,15736,21082,3,3679,73930R10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,41.000,2.000,34.500,40.500,38.750,1880418.000,0.047297,38.750,38.812,78498.000,1.000,1.000,36.062,5547.000,0.047297,0.014,0.014,0.021,0.020,0.010
85516,2001/01/11,,11,3,3670,73930810,PWER,POWER ONE INC,,PWER,,Q,A,R,15736,21082,3,3679,73930R10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,40.000,2.000,37.688,43.562,41.625,1973089.000,0.074194,41.625,41.688,78498.000,1.000,1.000,37.750,6187.000,0.074194,0.015,0.015,0.027,0.027,0.010
85516,2001/01/12,,11,3,3670,73930810,PWER,POWER ONE INC,,PWER,,Q,A,R,15736,21082,3,3679,73930R10,,,,,,,,,,,,,,,,,,,,,,,,,40.750,47.188,45.625,2666004.000,0.096096,45.688,45.625,78498.000,1.000,1.000,42.500,7199.000,0.096096,-0.004,-0.004,0.019,0.019,-0.006
85516,2001/01/16,,11,3,3670,73930810,PWER,POWER ONE INC,,PWER,,Q,A,R,15736,21082,3,3679,73930R10,,,,,,,,,,,,,,,,,,,,,,,,,41.188,46.188,42.000,2066306.000,-0.079452,41.938,42.000,78498.000,1.000,1.000,45.750,5083.000,-0.079452,0.006,0.006,0.019,0.019,0.006
