PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
21792,2001/01/02,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,42.188,43.562,42.688,799400.000,-0.014430,,,285071.000,1.252,1.000,43.500,,-0.014430,-0.034,-0.034,-0.001,-0.001,-0.028
21792,2001/01/03,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,38.375,43.750,39.125,1238700.000,-0.083455,,,285071.000,1.252,1.000,42.938,,-0.083455,0.053,0.053,0.046,0.046,0.050
21792,2001/01/04,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,35.438,39.312,37.500,3835900.000,-0.041534,,,285071.000,1.252,1.000,39.125,,-0.041534,-0.012,-0.012,0.011,0.011,-0.011
21792,2001/01/05,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,36.625,37.812,36.625,2250100.000,-0.023333,,,285071.000,1.252,1.000,37.250,,-0.023333,-0.029,-0.029,-0.009,-0.009,-0.026
21792,2001/01/08,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,36.688,37.875,37.250,1203200.000,0.017065,,,285071.000,1.252,1.000,36.688,,0.017065,-0.003,-0.004,-0.005,-0.005,-0.002
21792,2001/01/09,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,35.750,37.125,36.062,1140400.000,-0.031879,,,285071.000,1.252,1.000,37.000,,-0.031879,0.005,0.005,0.012,0.012,0.004
21792,2001/01/10,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,34.312,36.625,35.500,1000100.000,-0.015598,,,285071.000,1.252,1.000,36.312,,-0.015598,0.014,0.014,0.021,0.020,0.010
21792,2001/01/11,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,31.812,35.750,32.438,3190400.000,-0.086268,,,285071.000,1.252,1.000,35.750,,-0.086268,0.015,0.015,0.027,0.027,0.010
21792,2001/01/12,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,32.125,34.438,34.000,1957000.000,0.048170,,,285071.000,1.252,1.000,32.750,,0.048170,-0.004,-0.004,0.019,0.019,-0.006
21792,2001/01/16,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,32.188,34.125,33.312,1569500.000,-0.020221,,,285071.000,1.252,1.000,34.062,,-0.020221,0.006,0.006,0.019,0.019,0.006
21792,2001/01/17,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,32.750,33.750,33.125,1620200.000,-0.005629,,,285071.000,1.252,1.000,33.375,,-0.005629,0.004,0.004,0.013,0.013,0.002
21792,2001/01/18,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,32.875,34.625,34.062,1652300.000,0.028302,,,285071.000,1.252,1.000,33.000,,0.028302,0.012,0.012,0.009,0.008,0.014
21792,2001/01/19,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,33.062,34.688,33.750,873900.000,-0.009174,,,285071.000,1.252,1.000,34.062,,-0.009174,-0.004,-0.004,0.004,0.004,-0.004
21792,2001/01/22,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,34.000,35.562,35.188,1112900.000,0.042593,,,285071.000,1.252,1.000,34.188,,0.042593,0.000,0.000,0.005,0.005,0.000
21792,2001/01/23,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,34.938,36.625,35.125,1134000.000,-0.001776,,,285071.000,1.252,1.000,34.938,,-0.001776,0.016,0.016,0.015,0.015,0.013
21792,2001/01/24,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,34.875,36.625,36.250,1215400.000,0.032028,,,285071.000,1.252,1.000,35.125,,0.032028,0.003,0.003,0.007,0.007,0.003
21792,2001/01/25,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,36.625,38.000,37.000,1371300.000,0.020690,,,285071.000,1.252,1.000,36.875,,0.020690,-0.008,-0.008,-0.003,-0.003,-0.005
21792,2001/01/26,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,36.312,38.250,37.562,2079500.000,0.015203,,,285071.000,1.252,1.000,36.500,,0.015203,-0.001,-0.001,0.002,0.002,-0.002
21792,2001/01/29,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,37.570,38.750,37.850,988200.000,0.007654,,,285071.000,1.252,1.000,37.570,,0.007654,0.009,0.009,0.010,0.010,0.007
21792,2001/01/30,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,37.280,38.100,37.380,1081600.000,-0.012417,,,285071.000,1.252,1.000,38.100,,-0.012417,0.007,0.007,0.010,0.009,0.007
21792,2001/01/31,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,0.000,,,,,,,,,,,,,,,,,36.600,37.830,37.700,1150100.000,0.008561,,,285071.000,1.252,1.000,37.380,,0.008561,-0.007,-0.007,-0.000,-0.000,-0.006
21792,2001/02/01,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,36.750,37.890,37.100,1179300.000,-0.015915,,,285071.000,1.252,1.000,37.700,,-0.015915,0.004,0.004,0.002,0.002,0.005
21792,2001/02/02,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,37.250,37.840,37.640,1044500.000,0.014555,,,285071.000,1.252,1.000,37.250,,0.014555,-0.019,-0.019,-0.009,-0.009,-0.017
21792,2001/02/05,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,37.750,38.320,37.990,697700.000,0.009299,,,285071.000,1.252,1.000,37.890,,0.009299,0.002,0.002,-0.004,-0.004,0.004
21792,2001/02/06,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,38.050,38.830,38.350,765800.000,0.009476,,,285071.000,1.252,1.000,38.190,,0.009476,0.000,0.000,0.002,0.002,-0.002
21792,2001/02/07,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,39.400,40.800,39.940,1458300.000,0.041460,,,285071.000,1.252,1.000,39.750,,0.041460,-0.009,-0.009,-0.004,-0.004,-0.008
21792,2001/02/08,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,40.190,41.340,41.120,1238800.000,0.029544,,,285071.000,1.252,1.000,40.190,,0.029544,-0.006,-0.007,-0.003,-0.003,-0.006
21792,2001/02/09,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,40.790,41.700,41.240,682200.000,0.002918,,,285071.000,1.252,1.000,41.120,,0.002918,-0.014,-0.014,-0.009,-0.009,-0.013
21792,2001/02/12,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,40.320,42.050,41.070,1561700.000,-0.004122,,,285071.000,1.252,1.000,41.500,,-0.004122,0.010,0.010,0.005,0.005,0.012
21792,2001/02/13,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,40.260,41.480,40.710,2512400.000,-0.008766,,,285071.000,1.252,1.000,41.000,,-0.008766,-0.009,-0.009,-0.003,-0.004,-0.009
21792,2001/02/14,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,2000/12/06,,,,,2001/03/09,2001/02/16,0.000,,,1232.000,0.375,0.000,0.000,,,,,,,,,,,40.110,41.360,40.440,2026700.000,0.002579,,,285071.000,1.252,1.000,40.700,,-0.006632,-0.000,-0.000,-0.000,-0.001,-0.002
21792,2001/02/15,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,39.900,40.650,40.580,1048300.000,0.003462,,,285071.000,1.252,1.000,40.440,,0.003462,0.009,0.009,0.009,0.009,0.008
21792,2001/02/16,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,40.410,41.350,41.050,1339300.000,0.011582,,,285071.000,1.252,1.000,40.800,,0.011582,-0.021,-0.021,-0.014,-0.014,-0.019
21792,2001/02/20,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,40.600,42.350,41.910,790800.000,0.020950,,,285071.000,1.252,1.000,40.600,,0.020950,-0.019,-0.019,-0.012,-0.012,-0.017
21792,2001/02/21,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,41.900,43.300,41.900,921100.000,-0.000239,,,285071.000,1.252,1.000,42.350,,-0.000239,-0.018,-0.018,-0.016,-0.016,-0.019
21792,2001/02/22,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,41.360,42.800,42.000,699200.000,0.002387,,,285071.000,1.252,1.000,41.650,,0.002387,-0.005,-0.005,-0.011,-0.011,-0.002
21792,2001/02/23,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,40.570,42.470,41.290,1378600.000,-0.016905,,,285071.000,1.252,1.000,42.150,,-0.016905,-0.004,-0.004,-0.003,-0.003,-0.006
21792,2001/02/26,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,40.750,42.250,41.730,818400.000,0.010656,,,285071.000,1.252,1.000,41.250,,0.010656,0.019,0.019,0.016,0.016,0.017
21792,2001/02/27,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,,,,,,,,,,,,,,,,,,41.750,42.490,42.390,760500.000,0.015816,,,285071.000,1.252,1.000,41.950,,0.015816,-0.012,-0.012,-0.012,-0.012,-0.008
21792,2001/02/28,,11,1,4911,75952J10,REI,RELIANT ENERGY INC TX,,,,N,A,R,20939,0,1,4911,15189T10,,,,,,,,0.000,,,,,,,,,,,,,,,,,41.530,42.550,42.010,702100.000,-0.008964,,,285071.000,1.252,1.000,42.300,,-0.008964,-0.014,-0.014,-0.008,-0.008,-0.014
