PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
35044,2001/01/02,,11,3,6710,75894010,RGBK,REGIONS FINANCIAL CORP,,RGBK,,Q,A,R,1620,2073,1,6021,7591EP10,,,,,,,,,,,,,,,,,,,,,,,,,26.625,27.500,27.125,1108218.000,-0.006865,27.000,27.062,219769.000,1.235,1.235,27.438,1196.000,-0.006865,-0.034,-0.034,-0.001,-0.001,-0.028
35044,2001/01/03,,11,3,6710,75894010,RGBK,REGIONS FINANCIAL CORP,,RGBK,,Q,A,R,1620,2073,1,6021,7591EP10,,,,,,,,,,,,,,,,,,,,,,,,,26.250,28.375,28.203,982671.000,0.039747,28.188,28.250,219769.000,1.235,1.235,27.062,1598.000,0.039747,0.053,0.053,0.046,0.046,0.050
35044,2001/01/04,,11,3,6710,75894010,RGBK,REGIONS FINANCIAL CORP,,RGBK,,Q,A,R,1620,2073,1,6021,7591EP10,,,,,,,,,,,,,,,,,,,,,,,,,28.000,28.875,28.625,778874.000,0.014958,28.625,28.688,219769.000,1.235,1.235,28.109,1497.000,0.014958,-0.012,-0.012,0.011,0.011,-0.011
35044,2001/01/05,,11,3,6710,75894010,RGBK,REGIONS FINANCIAL CORP,,RGBK,,Q,A,R,1620,2073,1,6021,7591EP10,,,,,,,,,,,,,,,,,,,,,,,,,27.500,28.688,27.938,653253.000,-0.024017,27.938,28.000,219769.000,1.235,1.235,28.688,1195.000,-0.024017,-0.029,-0.029,-0.009,-0.009,-0.026
35044,2001/01/08,,11,3,6710,75894010,RGBK,REGIONS FINANCIAL CORP,,RGBK,,Q,A,R,1620,2073,1,6021,7591EP10,,,,,,,,,,,,,,,,,,,,,,,,,27.250,27.938,27.625,782809.000,-0.011186,27.562,27.688,219769.000,1.235,1.235,27.688,1033.000,-0.011186,-0.003,-0.004,-0.005,-0.005,-0.002
35044,2001/01/09,,11,3,6710,75894010,RGBK,REGIONS FINANCIAL CORP,,RGBK,,Q,A,R,1620,2073,1,6021,7591EP10,,,,,,,,,,,,,,,,,,,,,,,,,26.938,27.812,27.438,915311.000,-0.006787,27.375,27.438,219769.000,1.235,1.235,27.562,995.000,-0.006787,0.005,0.005,0.012,0.012,0.004
35044,2001/01/10,,11,3,6710,75894010,RGBK,REGIONS FINANCIAL CORP,,RGBK,,Q,A,R,1620,2073,1,6021,7591EP10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,46.000,3.000,27.188,27.875,27.500,766226.000,0.002278,27.438,27.500,219769.000,1.235,1.235,27.375,968.000,0.002278,0.014,0.014,0.021,0.020,0.010
35044,2001/01/11,,11,3,6710,75894010,RGBK,REGIONS FINANCIAL CORP,,RGBK,,Q,A,R,1620,2073,1,6021,7591EP10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,45.000,3.000,27.438,28.125,28.000,1445376.000,0.018182,27.938,28.000,219769.000,1.235,1.235,27.500,1200.000,0.018182,0.015,0.015,0.027,0.027,0.010
35044,2001/01/12,,11,3,6710,75894010,RGBK,REGIONS FINANCIAL CORP,,RGBK,,Q,A,R,1620,2073,1,6021,7591EP10,,,,,,,,,,,,,,,,,,,,,,,,,27.375,28.188,27.688,830052.000,-0.011161,27.625,27.688,219769.000,1.235,1.235,28.188,906.000,-0.011161,-0.004,-0.004,0.019,0.019,-0.006
35044,2001/01/16,,11,3,6710,75894010,RGBK,REGIONS FINANCIAL CORP,,RGBK,,Q,A,R,1620,2073,1,6021,7591EP10,,,,,,,,,,,,,,,,,,,,,,,,,27.312,28.500,28.375,695952.000,0.024831,28.375,28.438,219769.000,1.235,1.235,27.562,973.000,0.024831,0.006,0.006,0.019,0.019,0.006
35044,2001/01/17,,11,3,6710,75894010,RGBK,REGIONS FINANCIAL CORP,,RGBK,,Q,A,R,1620,2073,1,6021,7591EP10,,,,,,,,,,,,,,,,,,,,,,,,,28.500,29.000,28.875,567164.000,0.017621,28.812,28.875,219769.000,1.235,1.235,28.500,1012.000,0.017621,0.004,0.004,0.013,0.013,0.002
35044,2001/01/18,,11,3,6710,75894010,RGBK,REGIONS FINANCIAL CORP,,RGBK,,Q,A,R,1620,2073,1,6021,7591EP10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,44.000,3.000,28.312,28.875,28.344,952163.000,-0.018398,28.312,28.375,219769.000,1.235,1.235,28.812,1297.000,-0.018398,0.012,0.012,0.009,0.008,0.014
35044,2001/01/19,,11,3,6710,75894010,RGBK,REGIONS FINANCIAL CORP,,RGBK,,Q,A,R,1620,2073,1,6021,7591EP10,,,,,,,,,,,,,,,,,,,,,,,,,27.875,28.750,28.250,752196.000,-0.003308,28.188,28.250,219769.000,1.235,1.235,28.250,849.000,-0.003308,-0.004,-0.004,0.004,0.004,-0.004
35044,2001/01/22,,11,3,6710,75894010,RGBK,REGIONS FINANCIAL CORP,,RGBK,,Q,A,R,1620,2073,1,6021,7591EP10,,,,,,,,,,,,,,,,,,,,,,,,,28.125,29.188,29.156,1020893.000,0.032080,29.125,29.188,219769.000,1.235,1.235,28.188,1000.000,0.032080,0.000,0.000,0.005,0.005,0.000
35044,2001/01/23,,11,3,6710,75894010,RGBK,REGIONS FINANCIAL CORP,,RGBK,,Q,A,R,1620,2073,1,6021,7591EP10,,,,,,,,,,,,,,,,,,,,,,,,,28.812,29.312,28.938,415783.000,-0.007503,28.938,29.000,219769.000,1.235,1.235,29.062,793.000,-0.007503,0.016,0.016,0.015,0.015,0.013
35044,2001/01/24,,11,3,6710,75894010,RGBK,REGIONS FINANCIAL CORP,,RGBK,,Q,A,R,1620,2073,1,6021,7591EP10,,,,,,,,,,,,,,,,,,,,,,,,,28.812,29.062,29.000,512893.000,0.002160,29.000,29.062,219769.000,1.235,1.235,29.000,748.000,0.002160,0.003,0.003,0.007,0.007,0.003
