PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
13622,2012/10/11,2018/12/31,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,2.000,65.000,653.000,,,,,,,,,,,,,,,32.500,34.900,34.200,29153400.000,C,34.350,34.390,130153.000,1.000,1.000,32.850,,C,0.002,0.002,0.005,0.004,0.000
13622,2012/10/12,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,33.000,35.330,33.600,4742100.000,-0.017544,33.670,33.840,130153.000,1.000,1.000,34.000,,-0.017544,-0.003,-0.004,-0.004,-0.004,-0.003
13622,2012/10/15,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,33.070,34.050,33.500,2924100.000,-0.002976,33.450,33.500,130153.000,1.000,1.000,33.500,,-0.002976,0.007,0.007,0.004,0.004,0.008
13622,2012/10/16,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,33.910,36.370,35.740,2744700.000,0.066866,35.680,35.750,130153.000,1.000,1.000,33.950,,0.066866,0.010,0.010,0.007,0.007,0.010
13622,2012/10/17,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,36.440,38.250,37.490,5559100.000,0.048965,37.520,37.530,130153.000,1.000,1.000,36.990,,0.048965,0.005,0.005,0.006,0.006,0.004
13622,2012/10/18,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,35.800,39.210,36.200,3482700.000,-0.034409,36.150,36.250,130153.000,1.000,1.000,37.500,,-0.034409,-0.003,-0.003,-0.004,-0.004,-0.002
13622,2012/10/19,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,35.850,37.500,36.900,3283300.000,0.019337,36.570,36.620,130153.000,1.000,1.000,36.020,,0.019337,-0.016,-0.016,-0.013,-0.013,-0.017
13622,2012/10/22,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,36.810,37.390,37.130,950000.000,0.006233,37.070,37.140,130153.000,1.000,1.000,36.880,,0.006233,0.000,0.000,-0.000,-0.000,0.000
13622,2012/10/23,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,35.350,37.400,35.650,1537600.000,-0.039860,35.640,35.650,130153.000,1.000,1.000,37.120,,-0.039860,-0.013,-0.013,-0.007,-0.007,-0.014
13622,2012/10/24,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,35.260,36.610,36.000,839800.000,0.009818,35.950,35.980,130153.000,1.000,1.000,35.260,,0.009818,-0.003,-0.003,-0.001,-0.001,-0.003
13622,2012/10/25,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,34.850,36.620,35.050,1196300.000,-0.026389,35.020,35.060,130153.000,1.000,1.000,36.500,,-0.026389,0.003,0.003,0.002,0.002,0.003
13622,2012/10/26,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,33.780,35.190,34.660,1284300.000,-0.011127,34.580,34.630,130153.000,1.000,1.000,35.010,,-0.011127,-0.001,-0.001,-0.002,-0.002,-0.001
13622,2012/10/31,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,0.000,65.000,653.000,,,,,,,,,,,,,,,33.190,36.600,35.540,1201300.000,0.025390,35.500,35.550,130153.000,1.000,1.000,36.490,,0.025390,0.002,0.002,0.003,0.003,0.000
13622,2012/11/01,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,34.520,36.110,35.960,1293300.000,0.011818,36.030,36.110,130153.000,1.000,1.000,36.000,,0.011818,0.011,0.011,0.010,0.010,0.011
13622,2012/11/02,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,35.780,38.080,37.740,1934000.000,0.049500,37.720,37.730,130153.000,1.000,1.000,35.900,,0.049500,-0.010,-0.010,-0.009,-0.009,-0.009
13622,2012/11/05,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,37.560,39.410,38.900,1267700.000,0.030737,38.880,38.940,130153.000,1.000,1.000,39.170,,0.030737,0.002,0.002,0.003,0.003,0.002
13622,2012/11/06,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,38.570,39.770,39.360,880900.000,0.011825,39.350,39.400,130153.000,1.000,1.000,39.130,,0.011825,0.008,0.008,0.006,0.006,0.008
13622,2012/11/07,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,38.050,39.360,39.280,648900.000,-0.002033,39.280,39.290,130153.000,1.000,1.000,38.550,,-0.002033,-0.021,-0.022,-0.018,-0.018,-0.024
13622,2012/11/08,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,38.629,39.040,38.720,409000.000,-0.014257,38.720,38.740,130153.000,1.000,1.000,38.880,,-0.014257,-0.012,-0.012,-0.010,-0.010,-0.012
13622,2012/11/09,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,35.240,38.480,37.820,819700.000,-0.023244,37.800,37.830,130153.000,1.000,1.000,37.450,,-0.023244,0.001,0.001,-0.001,-0.001,0.002
13622,2012/11/12,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,36.690,37.820,37.050,300400.000,-0.020360,37.020,37.050,130153.000,1.000,1.000,37.060,,-0.020360,-0.000,-0.000,-0.002,-0.002,0.000
13622,2012/11/13,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,35.320,37.697,36.500,341600.000,-0.014845,36.500,36.510,130153.000,1.000,1.000,35.600,,-0.014845,-0.004,-0.004,-0.006,-0.006,-0.004
13622,2012/11/14,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,35.320,36.620,35.460,953200.000,-0.028493,35.470,35.500,130153.000,1.000,1.000,36.250,,-0.028493,-0.015,-0.015,-0.016,-0.016,-0.014
13622,2012/11/15,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,33.410,35.900,34.740,1380300.000,-0.020304,34.740,34.750,130153.000,1.000,1.000,35.200,,-0.020304,-0.003,-0.003,-0.006,-0.006,-0.002
13622,2012/11/16,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,34.360,36.460,35.500,975400.000,0.021877,35.490,35.500,130153.000,1.000,1.000,35.350,,0.021877,0.006,0.006,0.006,0.006,0.005
13622,2012/11/19,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,35.850,37.250,37.060,1023200.000,0.043944,37.100,37.130,130153.000,1.000,1.000,37.200,,0.043944,0.019,0.019,0.017,0.016,0.020
13622,2012/11/20,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,36.390,37.490,36.700,1306200.000,-0.009714,36.690,36.700,130153.000,1.000,1.000,37.380,,-0.009714,0.001,0.001,0.001,0.001,0.001
13622,2012/11/21,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,35.800,36.700,36.180,579800.000,-0.014169,36.100,36.150,130153.000,1.000,1.000,36.300,,-0.014169,0.003,0.003,0.005,0.005,0.002
13622,2012/11/23,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,36.071,36.550,36.500,235100.000,0.008845,36.490,36.550,130153.000,1.000,1.000,36.170,,0.008845,0.013,0.013,0.010,0.010,0.013
13622,2012/11/26,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,35.850,37.400,36.290,426200.000,-0.005753,36.300,36.330,130153.000,1.000,1.000,35.870,,-0.005753,-0.002,-0.002,0.001,0.001,-0.002
13622,2012/11/27,,11,1,6531,75605Y10,RLGY,REALOGY HOLDINGS CORP,,RLGY,531210,N,A,R,54208,0,1,6531,75605Y10,,,,,,,,,65.000,653.000,,,,,,,,,,,,,,,36.240,37.000,36.410,316300.000,0.003307,36.370,36.400,130153.000,1.000,1.000,36.650,,0.003307,-0.004,-0.005,-0.001,-0.001,-0.005
