PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
86228,2001/01/02,,11,1,4953,76075910,RSG,REPUBLIC SERVICES INC,,,,N,A,R,34838,0,1,4953,76075910,,,,,,,,,,,,,,,,,,,,,,,,,16.250,17.250,16.562,1801700.000,-0.036364,16.000,17.125,173323.000,1.500,1.500,17.250,,-0.036364,-0.034,-0.034,-0.001,-0.001,-0.028
86228,2001/01/03,,11,1,4953,76075910,RSG,REPUBLIC SERVICES INC,,,,N,A,R,34838,0,1,4953,76075910,,,,,,,,,,,,,,,,,,,,,,,,,15.938,16.625,16.125,1234100.000,-0.026415,15.562,16.625,173323.000,1.500,1.500,16.375,,-0.026415,0.053,0.053,0.046,0.046,0.050
86228,2001/01/04,,11,1,4953,76075910,RSG,REPUBLIC SERVICES INC,,,,N,A,R,34838,0,1,4953,76075910,,,,,,,,,,,,,,,,,,,,,,,,,16.000,16.438,16.375,2095600.000,0.015504,15.812,16.938,173323.000,1.500,1.500,16.188,,0.015504,-0.012,-0.012,0.011,0.011,-0.011
86228,2001/01/05,,11,1,4953,76075910,RSG,REPUBLIC SERVICES INC,,,,N,A,R,34838,0,1,4953,76075910,,,,,,,,,,,,,,,,,,,,,,,,,16.312,16.875,16.812,1332500.000,0.026718,16.250,17.375,173323.000,1.500,1.500,16.312,,0.026718,-0.029,-0.029,-0.009,-0.009,-0.026
86228,2001/01/08,,11,1,4953,76075910,RSG,REPUBLIC SERVICES INC,,,,N,A,R,34838,0,1,4953,76075910,,,,,,,,,,,,,,,,,,,,,,,,,16.750,17.125,17.125,1307500.000,0.018587,16.500,17.688,173323.000,1.500,1.500,16.875,,0.018587,-0.003,-0.004,-0.005,-0.005,-0.002
86228,2001/01/09,,11,1,4953,76075910,RSG,REPUBLIC SERVICES INC,,,,N,A,R,34838,0,1,4953,76075910,,,,,,,,,,,,,,,,,,,,,,,,,16.438,17.188,16.562,2024200.000,-0.032847,16.000,17.125,173323.000,1.500,1.500,17.188,,-0.032847,0.005,0.005,0.012,0.012,0.004
86228,2001/01/10,,11,1,4953,76075910,RSG,REPUBLIC SERVICES INC,,,,N,A,R,34838,0,1,4953,76075910,,,,,,,,,,,,,,,,,,,,,,,,,15.812,16.438,16.312,596200.000,-0.015094,15.750,16.875,173323.000,1.500,1.500,16.438,,-0.015094,0.014,0.014,0.021,0.020,0.010
86228,2001/01/11,,11,1,4953,76075910,RSG,REPUBLIC SERVICES INC,,,,N,A,R,34838,0,1,4953,76075910,,,,,,,,,,,,,,,,,,,,,,,,,15.812,16.375,16.000,623600.000,-0.019157,,,173323.000,1.500,1.500,16.250,,-0.019157,0.015,0.015,0.027,0.027,0.010
86228,2001/01/12,,11,1,4953,76075910,RSG,REPUBLIC SERVICES INC,,,,N,A,R,34838,0,1,4953,76075910,,,,,,,,,,,,,,,,,,,,,,,,,15.812,16.000,15.875,433900.000,-0.007813,15.375,16.438,173323.000,1.500,1.500,16.000,,-0.007813,-0.004,-0.004,0.019,0.019,-0.006
86228,2001/01/16,,11,1,4953,76075910,RSG,REPUBLIC SERVICES INC,,,,N,A,R,34838,0,1,4953,76075910,,,,,,,,,,,,,,,,,,,,,,,,,15.750,16.250,16.250,969700.000,0.023622,15.688,16.750,173323.000,1.500,1.500,15.875,,0.023622,0.006,0.006,0.019,0.019,0.006
86228,2001/01/17,,11,1,4953,76075910,RSG,REPUBLIC SERVICES INC,,,,N,A,R,34838,0,1,4953,76075910,,,,,,,,,,,,,,,,,,,,,,,,,15.750,16.250,15.750,721500.000,-0.030769,15.688,15.875,173323.000,1.500,1.500,16.250,,-0.030769,0.004,0.004,0.013,0.013,0.002
86228,2001/01/18,,11,1,4953,76075910,RSG,REPUBLIC SERVICES INC,,,,N,A,R,34838,0,1,4953,76075910,,,,,,,,,,,,,,,,,,,,,,,,,15.750,15.938,15.938,1046300.000,0.011905,,,173323.000,1.500,1.500,15.812,,0.011905,0.012,0.012,0.009,0.008,0.014
86228,2001/01/19,,11,1,4953,76075910,RSG,REPUBLIC SERVICES INC,,,,N,A,R,34838,0,1,4953,76075910,,,,,,,,,,,,,,,,,,,,,,,,,15.812,15.938,15.812,561400.000,-0.007843,15.750,15.938,173323.000,1.500,1.500,15.938,,-0.007843,-0.004,-0.004,0.004,0.004,-0.004
86228,2001/01/22,,11,1,4953,76075910,RSG,REPUBLIC SERVICES INC,,,,N,A,R,34838,0,1,4953,76075910,,,,,,,,,,,,,,,,,,,,,,,,,15.750,15.938,15.812,667400.000,0.000000,15.312,16.375,173323.000,1.500,1.500,15.812,,0.000000,0.000,0.000,0.005,0.005,0.000
86228,2001/01/23,,11,1,4953,76075910,RSG,REPUBLIC SERVICES INC,,,,N,A,R,34838,0,1,4953,76075910,,,,,,,,,,,,,,,,,,,,,,,,,15.625,15.875,15.688,572300.000,-0.007905,,,173323.000,1.500,1.500,15.812,,-0.007905,0.016,0.016,0.015,0.015,0.013
86228,2001/01/24,,11,1,4953,76075910,RSG,REPUBLIC SERVICES INC,,,,N,A,R,34838,0,1,4953,76075910,,,,,,,,,,,,,,,,,,,,,,,,,15.562,15.938,15.875,454900.000,0.011952,15.312,16.375,173323.000,1.500,1.500,15.688,,0.011952,0.003,0.003,0.007,0.007,0.003
86228,2001/01/25,,11,1,4953,76075910,RSG,REPUBLIC SERVICES INC,,,,N,A,R,34838,0,1,4953,76075910,,,,,,,,,,,,,,,,,,,,,,,,,15.812,16.000,15.812,534400.000,-0.003937,,,173323.000,1.500,1.500,15.938,,-0.003937,-0.008,-0.008,-0.003,-0.003,-0.005
86228,2001/01/26,,11,1,4953,76075910,RSG,REPUBLIC SERVICES INC,,,,N,A,R,34838,0,1,4953,76075910,,,,,,,,,,,,,,,,,,,,,,,,,15.438,15.812,15.750,748000.000,-0.003953,,,173323.000,1.500,1.500,15.750,,-0.003953,-0.001,-0.001,0.002,0.002,-0.002
