PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
24942,2001/01/02,,11,1,3812,75511140,RTN,RAYTHEON CO,B,,,N,A,R,21492,0,1,3812,75511150,,,,,,,,,,,,,,,,,,,,,,,,,30.625,31.625,30.688,784100.000,-0.012072,30.438,30.938,239105.000,1.000,1.000,31.000,,-0.012072,-0.034,-0.034,-0.001,-0.001,-0.028
24942,2001/01/03,,11,1,3812,75511140,RTN,RAYTHEON CO,B,,,N,A,R,21492,0,1,3812,75511150,,,,,,,,,,,,,,,,,,,,,,,,,30.688,31.500,31.125,732100.000,0.014257,30.875,31.375,239105.000,1.000,1.000,30.688,,0.014257,0.053,0.053,0.046,0.046,0.050
24942,2001/01/04,,11,1,3812,75511140,RTN,RAYTHEON CO,B,,,N,A,R,21492,0,1,3812,75511150,,,,,,,,,,,,,,,,,,,,,,,,,30.500,31.438,30.938,778500.000,-0.006024,30.625,31.250,239105.000,1.000,1.000,31.375,,-0.006024,-0.012,-0.012,0.011,0.011,-0.011
24942,2001/01/05,,11,1,3812,75511140,RTN,RAYTHEON CO,B,,,N,A,R,21492,0,1,3812,75511150,,,,,,,,,,,,,,,,,,,,,,,,,30.062,30.875,30.250,610200.000,-0.022222,30.000,30.500,239105.000,1.000,1.000,30.875,,-0.022222,-0.029,-0.029,-0.009,-0.009,-0.026
24942,2001/01/08,,11,1,3812,75511140,RTN,RAYTHEON CO,B,,,N,A,R,21492,0,1,3812,75511150,,,,,,,,,,,,,,,,,,,,,,,,,29.750,30.562,29.750,854400.000,-0.016529,29.500,30.250,239105.000,1.000,1.000,30.250,,-0.016529,-0.003,-0.004,-0.005,-0.005,-0.002
24942,2001/01/09,,11,1,3812,75511140,RTN,RAYTHEON CO,B,,,N,A,R,21492,0,1,3812,75511150,,,,,,,,,,,,,,,,,,,,,,,,,30.000,31.500,31.500,1788600.000,0.058824,31.250,31.750,239105.000,1.000,1.000,30.000,,0.058824,0.005,0.005,0.012,0.012,0.004
24942,2001/01/10,,11,1,3812,75511140,RTN,RAYTHEON CO,B,,,N,A,R,21492,0,1,3812,75511150,,,,,,,,,,,,,,,,,,,,,,,,,31.562,33.000,32.750,1676100.000,0.039683,32.250,33.250,239105.000,1.000,1.000,31.562,,0.039683,0.014,0.014,0.021,0.020,0.010
24942,2001/01/11,,11,1,3812,75511140,RTN,RAYTHEON CO,B,,,N,A,R,21492,0,1,3812,75511150,,,,,,,,,,,,,,,,,,,,,,,,,31.062,32.812,31.188,811500.000,-0.047710,30.688,31.500,239105.000,1.000,1.000,32.750,,-0.047710,0.015,0.015,0.027,0.027,0.010
24942,2001/01/12,,11,1,3812,75511140,RTN,RAYTHEON CO,B,,,N,A,R,21492,0,1,3812,75511150,,,,,,,,,,,,,,,,,,,,,,,,,30.688,31.500,31.250,704600.000,0.002004,31.000,31.500,239105.000,1.000,1.000,31.188,,0.002004,-0.004,-0.004,0.019,0.019,-0.006
24942,2001/01/16,,11,1,3812,75511140,RTN,RAYTHEON CO,B,,,N,A,R,21492,0,1,3812,75511150,,,,,,,,,,,,,,,,,,,,,,,,,30.125,30.875,30.625,623800.000,-0.020000,30.375,30.875,239105.000,1.000,1.000,30.750,,-0.020000,0.006,0.006,0.019,0.019,0.006
