PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
86996,2001/01/02,,11,3,4890,78388J10,SBAC,S B A COMMUNICATIONS CORP,A,SBAC,,Q,A,R,16584,22955,3,4899,78410G10,,,,,,,,,,,,,,,,,,,,,,,,,37.312,40.938,39.312,239242.000,-0.042618,38.688,39.312,40989.000,1.000,1.000,40.828,383.000,-0.042618,-0.034,-0.034,-0.001,-0.001,-0.028
86996,2001/01/03,,11,3,4890,78388J10,SBAC,S B A COMMUNICATIONS CORP,A,SBAC,,Q,A,R,16584,22955,3,4899,78410G10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,25.000,8.000,36.000,37.938,37.625,711861.000,-0.042925,37.562,37.625,40989.000,1.000,1.000,37.688,574.000,-0.042925,0.053,0.053,0.046,0.046,0.050
86996,2001/01/04,,11,3,4890,78388J10,SBAC,S B A COMMUNICATIONS CORP,A,SBAC,,Q,A,R,16584,22955,3,4899,78410G10,,,,,,,,,,,,,,,,,,,,,,,,,36.625,38.000,36.688,325363.000,-0.024917,36.688,36.750,40989.000,1.000,1.000,37.688,280.000,-0.024917,-0.012,-0.012,0.011,0.011,-0.011
86996,2001/01/05,,11,3,4890,78388J10,SBAC,S B A COMMUNICATIONS CORP,A,SBAC,,Q,A,R,16584,22955,3,4899,78410G10,,,,,,,,,,,,,,,,,,,,,,,,,34.500,36.516,34.688,338126.000,-0.054514,34.688,34.812,40989.000,1.000,1.000,36.516,375.000,-0.054514,-0.029,-0.029,-0.009,-0.009,-0.026
86996,2001/01/08,,11,3,4890,78388J10,SBAC,S B A COMMUNICATIONS CORP,A,SBAC,,Q,A,R,16584,22955,3,4899,78410G10,,,,,,,,,,,,,,,,,,,,,,,,,34.875,35.500,35.250,594303.000,0.016216,35.250,35.312,40989.000,1.000,1.000,35.000,289.000,0.016216,-0.003,-0.004,-0.005,-0.005,-0.002
86996,2001/01/09,,11,3,4890,78388J10,SBAC,S B A COMMUNICATIONS CORP,A,SBAC,,Q,A,R,16584,22955,3,4899,78410G10,,,,,,,,,,,,,,,,,,,,,,,,,33.000,35.375,35.000,251142.000,-0.007092,34.750,35.250,40989.000,1.000,1.000,35.312,309.000,-0.007092,0.005,0.005,0.012,0.012,0.004
86996,2001/01/10,,11,3,4890,78388J10,SBAC,S B A COMMUNICATIONS CORP,A,SBAC,,Q,A,R,16584,22955,3,4899,78410G10,,,,,,,,,,,,,,,,,,,,,,,,,34.312,36.938,36.438,572619.000,0.041071,36.438,36.438,40989.000,1.000,1.000,34.922,735.000,0.041071,0.014,0.014,0.021,0.020,0.010
86996,2001/01/11,,11,3,4890,78388J10,SBAC,S B A COMMUNICATIONS CORP,A,SBAC,,Q,A,R,16584,22955,3,4899,78410G10,,,,,,,,,,,,,,,,,,,,,,,,,36.250,46.375,41.500,914518.000,0.138937,41.250,41.625,40989.000,1.000,1.000,36.484,1172.000,0.138937,0.015,0.015,0.027,0.027,0.010
86996,2001/01/12,,11,3,4890,78388J10,SBAC,S B A COMMUNICATIONS CORP,A,SBAC,,Q,A,R,16584,22955,3,4899,78410G10,,,,,,,,,,,,,,,,,,,,,,,,,39.000,41.938,40.812,483381.000,-0.016566,40.812,41.000,40989.000,1.000,1.000,41.875,432.000,-0.016566,-0.004,-0.004,0.019,0.019,-0.006
86996,2001/01/16,,11,3,4890,78388J10,SBAC,S B A COMMUNICATIONS CORP,A,SBAC,,Q,A,R,16584,22955,3,4899,78410G10,,,,,,,,,,,,,,,,,,,,,,,,,39.938,42.125,42.000,302332.000,0.029096,41.875,42.000,40989.000,1.000,1.000,40.391,394.000,0.029096,0.006,0.006,0.019,0.019,0.006
