PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
23085,2001/01/02,,11,1,4931,80589M10,SCG,SCANA CORP NEW,,,,N,A,R,21570,0,1,4911,80589M10,,,,,,,,,,,,,,,,,,,,,,,,,29.000,29.750,29.250,260500.000,-0.010571,,,104729.000,1.000,1.000,29.750,,-0.010571,-0.034,-0.034,-0.001,-0.001,-0.028
23085,2001/01/03,,11,1,4931,80589M10,SCG,SCANA CORP NEW,,,,N,A,R,21570,0,1,4911,80589M10,,,,,,,,,,,,,,,,,,,,,,,,,29.125,30.000,29.188,349300.000,-0.002137,,,104729.000,1.000,1.000,29.312,,-0.002137,0.053,0.053,0.046,0.046,0.050
23085,2001/01/04,,11,1,4931,80589M10,SCG,SCANA CORP NEW,,,,N,A,R,21570,0,1,4911,80589M10,,,,,,,,,,,,,,,,,,,,,,,,,26.875,29.188,27.062,558700.000,-0.072805,,,104729.000,1.000,1.000,29.188,,-0.072805,-0.012,-0.012,0.011,0.011,-0.011
23085,2001/01/05,,11,1,4931,80589M10,SCG,SCANA CORP NEW,,,,N,A,R,21570,0,1,4911,80589M10,,,,,,,,,,,,,,,,,,,,,,,,,26.125,27.438,26.250,172900.000,-0.030023,,,104729.000,1.000,1.000,27.062,,-0.030023,-0.029,-0.029,-0.009,-0.009,-0.026
23085,2001/01/08,,11,1,4931,80589M10,SCG,SCANA CORP NEW,,,,N,A,R,21570,0,1,4911,80589M10,,,,,,,,,,,,,,,,,,,,,,,,,26.375,27.250,27.188,410500.000,0.035714,,,104729.000,1.000,1.000,26.375,,0.035714,-0.003,-0.004,-0.005,-0.005,-0.002
23085,2001/01/09,,11,1,4931,80589M10,SCG,SCANA CORP NEW,,,,N,A,R,21570,0,1,4911,80589M10,,,,,,,,,,,,,,,,,,,,,,,,,26.750,27.188,26.938,156900.000,-0.009195,,,104729.000,1.000,1.000,27.000,,-0.009195,0.005,0.005,0.012,0.012,0.004
23085,2001/01/10,,11,1,4931,80589M10,SCG,SCANA CORP NEW,,,,N,A,R,21570,0,1,4911,80589M10,,,,,,,,,,,,,,,,,,,,,,,,,26.562,27.062,26.938,155800.000,0.000000,,,104729.000,1.000,1.000,27.000,,0.000000,0.014,0.014,0.021,0.020,0.010
23085,2001/01/11,,11,1,4931,80589M10,SCG,SCANA CORP NEW,,,,N,A,R,21570,0,1,4911,80589M10,,,,,,,,,,,,,,,,,,,,,,,,,26.125,27.000,26.188,218700.000,-0.027842,,,104729.000,1.000,1.000,26.875,,-0.027842,0.015,0.015,0.027,0.027,0.010
23085,2001/01/12,,11,1,4931,80589M10,SCG,SCANA CORP NEW,,,,N,A,R,21570,0,1,4911,80589M10,,,,,,,,,,,,,,,,,,,,,,,,,25.500,26.500,26.375,164000.000,0.007160,,,104729.000,1.000,1.000,26.000,,0.007160,-0.004,-0.004,0.019,0.019,-0.006
23085,2001/01/16,,11,1,4931,80589M10,SCG,SCANA CORP NEW,,,,N,A,R,21570,0,1,4911,80589M10,,,,,,,,,,,,,,,,,,,,,,,,,25.000,26.500,25.562,211400.000,-0.030806,,,104729.000,1.000,1.000,26.500,,-0.030806,0.006,0.006,0.019,0.019,0.006
