PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
22840,2001/01/02,,11,1,2013,80311110,SLE,SARA LEE CORP,,,,N,A,R,21566,0,1,5461,43258910,,,,,,,,,,,,,,,,,,,,,,,,,24.312,24.750,24.625,1963300.000,0.002545,24.125,25.125,833773.000,0.702,0.200,24.500,,0.002545,-0.034,-0.034,-0.001,-0.001,-0.028
22840,2001/01/03,,11,1,2013,80311110,SLE,SARA LEE CORP,,,,N,A,R,21566,0,1,5461,43258910,,,,,,,,,,,,,,,,,,,,,,,,,22.750,24.750,23.125,2707900.000,-0.060914,22.625,23.625,833773.000,0.702,0.200,24.562,,-0.060914,0.053,0.053,0.046,0.046,0.050
22840,2001/01/04,,11,1,2013,80311110,SLE,SARA LEE CORP,,,,N,A,R,21566,0,1,5461,43258910,,,,,,,,,,,,,,,,,,,,,,,,,20.812,22.250,22.000,4376100.000,-0.048649,21.500,22.500,833773.000,0.702,0.200,22.000,,-0.048649,-0.012,-0.012,0.011,0.011,-0.011
22840,2001/01/05,,11,1,2013,80311110,SLE,SARA LEE CORP,,,,N,A,R,21566,0,1,5461,43258910,,,,,,,,,,,,,,,,,,,,,,,,,21.688,22.688,22.500,2245000.000,0.022727,22.000,23.000,833773.000,0.702,0.200,21.875,,0.022727,-0.029,-0.029,-0.009,-0.009,-0.026
22840,2001/01/08,,11,1,2013,80311110,SLE,SARA LEE CORP,,,,N,A,R,21566,0,1,5461,43258910,,,,,,,,,,,,,,,,,,,,,,,,,22.125,22.688,22.625,1433700.000,0.005556,22.125,23.125,833773.000,0.702,0.200,22.500,,0.005556,-0.003,-0.004,-0.005,-0.005,-0.002
22840,2001/01/09,,11,1,2013,80311110,SLE,SARA LEE CORP,,,,N,A,R,21566,0,1,5461,43258910,,,,,,,,,,,,,,,,,,,,,,,,,21.812,22.750,22.500,1461800.000,-0.005525,22.000,23.000,833773.000,0.702,0.200,22.688,,-0.005525,0.005,0.005,0.012,0.012,0.004
22840,2001/01/10,,11,1,2013,80311110,SLE,SARA LEE CORP,,,,N,A,R,21566,0,1,5461,43258910,,,,,,,,,,,,,,,,,,,,,,,,,22.125,22.750,22.500,936500.000,0.000000,22.000,23.000,833773.000,0.702,0.200,22.625,,0.000000,0.014,0.014,0.021,0.020,0.010
22840,2001/01/11,,11,1,2013,80311110,SLE,SARA LEE CORP,,,,N,A,R,21566,0,1,5461,43258910,,,,,,,,,,,,,,,,,,,,,,,,,21.312,22.250,21.438,1659800.000,-0.047222,20.938,21.938,833773.000,0.702,0.200,22.188,,-0.047222,0.015,0.015,0.027,0.027,0.010
22840,2001/01/12,,11,1,2013,80311110,SLE,SARA LEE CORP,,,,N,A,R,21566,0,1,5461,43258910,,,,,,,,,,,,,,,,,,,,,,,,,20.438,21.500,21.000,3083200.000,-0.020408,20.500,21.500,833773.000,0.702,0.200,21.375,,-0.020408,-0.004,-0.004,0.019,0.019,-0.006
22840,2001/01/16,,11,1,2013,80311110,SLE,SARA LEE CORP,,,,N,A,R,21566,0,1,5461,43258910,,,,,,,,,,,,,,,,,,,,,,,,,20.938,21.750,21.625,2106000.000,0.029762,21.125,22.125,833773.000,0.702,0.200,21.250,,0.029762,0.006,0.006,0.019,0.019,0.006
