PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
26607,2001/02/12,2002/01/01,11,1,5812,85787310,SNS,STEAK N SHAKE CO,,,,N,A,R,4255,5399,1,5812,08986R30,,,,,,,,2.000,58.000,581.000,,,,,,,,,,,5.000,2.000,11.000,1.000,7.450,8.130,7.620,63000.000,0.002632,,,29024.000,0.058,0.050,7.600,,0.002632,0.010,0.010,0.005,0.005,0.012
26607,2001/02/13,,11,1,5812,85787310,SNS,STEAK N SHAKE CO,,,,N,A,R,4255,5399,1,5812,08986R30,,,,,,,,,58.000,581.000,,,,,,,,,,,,,,,7.500,7.740,7.500,96000.000,-0.015748,,,29024.000,0.058,0.050,7.610,,-0.015748,-0.009,-0.009,-0.003,-0.004,-0.009
26607,2001/02/14,,11,1,5812,85787310,SNS,STEAK N SHAKE CO,,,,N,A,R,4255,5399,1,5812,08986R30,,,,,,,,,58.000,581.000,,,,,,,,,,,,,,,7.450,7.600,7.570,166000.000,0.009333,,,29024.000,0.058,0.050,7.500,,0.009333,-0.000,-0.000,-0.000,-0.001,-0.002
26607,2001/02/15,,11,1,5812,85787310,SNS,STEAK N SHAKE CO,,,,N,A,R,4255,5399,1,5812,08986R30,,,,,,,,,58.000,581.000,,,,,,,,,,,,,,,7.600,8.100,8.100,48300.000,0.070013,,,29024.000,0.058,0.050,7.600,,0.070013,0.009,0.009,0.009,0.009,0.008
26607,2001/02/16,,11,1,5812,85787310,SNS,STEAK N SHAKE CO,,,,N,A,R,4255,5399,1,5812,08986R30,,,,,,,,,58.000,581.000,,,,,,,,,,,,,,,7.940,8.100,8.000,26700.000,-0.012346,,,29024.000,0.058,0.050,8.000,,-0.012346,-0.021,-0.021,-0.014,-0.014,-0.019
26607,2001/02/20,,11,1,5812,85787310,SNS,STEAK N SHAKE CO,,,,N,A,R,4255,5399,1,5812,08986R30,,,,,,,,,58.000,581.000,,,,,,,,,,,,,,,8.000,8.200,8.150,38300.000,0.018750,,,29024.000,0.058,0.050,8.100,,0.018750,-0.019,-0.019,-0.012,-0.012,-0.017
26607,2001/02/21,,11,1,5812,85787310,SNS,STEAK N SHAKE CO,,,,N,A,R,4255,5399,1,5812,08986R30,,,,,,,,,58.000,581.000,,,,,,,,,,,,,,,8.120,8.400,8.120,16100.000,-0.003681,,,29024.000,0.058,0.050,8.250,,-0.003681,-0.018,-0.018,-0.016,-0.016,-0.019
26607,2001/02/22,,11,1,5812,85787310,SNS,STEAK N SHAKE CO,,,,N,A,R,4255,5399,1,5812,08986R30,,,,,,,,,58.000,581.000,,,,,,,,,,,,,,,8.050,8.250,8.170,41700.000,0.006158,,,29024.000,0.058,0.050,8.120,,0.006158,-0.005,-0.005,-0.011,-0.011,-0.002
26607,2001/02/23,,11,1,5812,85787310,SNS,STEAK N SHAKE CO,,,,N,A,R,4255,5399,1,5812,08986R30,,,,,,,,,58.000,581.000,,,,,,,,,,,,,,,8.150,8.700,8.700,67300.000,0.064871,,,29024.000,0.058,0.050,8.150,,0.064871,-0.004,-0.004,-0.003,-0.003,-0.006
26607,2001/02/26,,11,1,5812,85787310,SNS,STEAK N SHAKE CO,,,,N,A,R,4255,5399,1,5812,08986R30,,,,,,,,,58.000,581.000,,,,,,,,,,,,,,,8.450,8.750,8.750,107000.000,0.005747,8.550,8.950,29024.000,0.058,0.050,8.750,,0.005747,0.019,0.019,0.016,0.016,0.017
26607,2001/02/27,,11,1,5812,85787310,SNS,STEAK N SHAKE CO,,,,N,A,R,4255,5399,1,5812,08986R30,,,,,,,,,58.000,581.000,,,,,,,,,,,,,,,8.620,8.850,8.800,40200.000,0.005714,,,29024.000,0.058,0.050,8.700,,0.005714,-0.012,-0.012,-0.012,-0.012,-0.008
26607,2001/02/28,,11,1,5812,85787310,SNS,STEAK N SHAKE CO,,,,N,A,R,4255,5399,1,5812,08986R30,,,,,,,,0.000,58.000,581.000,,,,,,,,,,,5.000,2.000,11.000,1.000,8.700,8.900,8.800,64000.000,0.000000,8.620,8.950,28509.000,0.058,0.050,8.880,,0.000000,-0.014,-0.014,-0.008,-0.008,-0.014
26607,2001/03/01,,11,1,5812,85787310,SNS,STEAK N SHAKE CO,,,,N,A,R,4255,5399,1,5812,08986R30,,,,,,,,,58.000,581.000,,,,,,,,,,,,,,,8.550,8.800,8.640,15700.000,-0.018182,,,28509.000,0.058,0.050,8.800,,-0.018182,0.000,0.000,-0.006,-0.006,0.001
26607,2001/03/02,,11,1,5812,85787310,SNS,STEAK N SHAKE CO,,,,N,A,R,4255,5399,1,5812,08986R30,,,,,,,,,58.000,581.000,,,,,,,,,,,,,,,8.540,9.010,8.770,92300.000,0.015046,8.650,9.000,28509.000,0.058,0.050,8.540,,0.015046,-0.005,-0.005,0.005,0.005,-0.006
26607,2001/03/05,,11,1,5812,85787310,SNS,STEAK N SHAKE CO,,,,N,A,R,4255,5399,1,5812,08986R30,,,,,,,,,58.000,581.000,,,,,,,,,,,,,,,8.630,9.000,8.800,67800.000,0.003421,,,28509.000,0.058,0.050,8.750,,0.003421,0.005,0.005,0.002,0.002,0.006
26607,2001/03/06,,11,1,5812,85787310,SNS,STEAK N SHAKE CO,,,,N,A,R,4255,5399,1,5812,08986R30,,,,,,,,,58.000,581.000,,,,,,,,,,,,,,,8.700,8.940,8.750,19600.000,-0.005682,,,28509.000,0.058,0.050,8.800,,-0.005682,0.011,0.011,0.010,0.010,0.010
