PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
20053,2001/01/02,,11,1,6022,87161C10,SNV,SYNOVUS FINANCIAL CORP,,,,N,A,R,781,999,1,6021,87161C50,,,,,,,,,,,,,,,,,,,,,,,,,26.062,26.562,26.125,843200.000,-0.030162,,,284262.000,0.315,0.143,26.562,,-0.030162,-0.034,-0.034,-0.001,-0.001,-0.028
20053,2001/01/03,,11,1,6022,87161C10,SNV,SYNOVUS FINANCIAL CORP,,,,N,A,R,781,999,1,6021,87161C50,,,,,,,,,,,,,,,,,,,,,,,,,25.625,26.938,26.938,936800.000,0.031100,,,284262.000,0.315,0.143,26.188,,0.031100,0.053,0.053,0.046,0.046,0.050
20053,2001/01/04,,11,1,6022,87161C10,SNV,SYNOVUS FINANCIAL CORP,,,,N,A,R,781,999,1,6021,87161C50,,,,,,,,,,,,,,,,,,,,,,,,,26.875,27.562,27.438,854300.000,0.018561,,,284262.000,0.315,0.143,26.938,,0.018561,-0.012,-0.012,0.011,0.011,-0.011
20053,2001/01/05,,11,1,6022,87161C10,SNV,SYNOVUS FINANCIAL CORP,,,,N,A,R,781,999,1,6021,87161C50,,,,,,,,,,,,,,,,,,,,,,,,,26.125,27.375,26.625,478600.000,-0.029613,,,284262.000,0.315,0.143,27.375,,-0.029613,-0.029,-0.029,-0.009,-0.009,-0.026
20053,2001/01/08,,11,1,6022,87161C10,SNV,SYNOVUS FINANCIAL CORP,,,,N,A,R,781,999,1,6021,87161C50,,,,,,,,,,,,,,,,,,,,,,,,,26.312,26.688,26.688,498600.000,0.002347,,,284262.000,0.315,0.143,26.562,,0.002347,-0.003,-0.004,-0.005,-0.005,-0.002
20053,2001/01/09,,11,1,6022,87161C10,SNV,SYNOVUS FINANCIAL CORP,,,,N,A,R,781,999,1,6021,87161C50,,,,,,,,,,,,,,,,,,,,,,,,,25.812,26.688,25.938,482800.000,-0.028103,,,284262.000,0.315,0.143,26.625,,-0.028103,0.005,0.005,0.012,0.012,0.004
20053,2001/01/10,,11,1,6022,87161C10,SNV,SYNOVUS FINANCIAL CORP,,,,N,A,R,781,999,1,6021,87161C50,,,,,,,,,,,,,,,,,,,,,,,,,25.875,26.625,26.312,327800.000,0.014458,,,284262.000,0.315,0.143,25.938,,0.014458,0.014,0.014,0.021,0.020,0.010
20053,2001/01/11,,11,1,6022,87161C10,SNV,SYNOVUS FINANCIAL CORP,,,,N,A,R,781,999,1,6021,87161C50,,,,,,,,,,,,,,,,,,,,,,,,,26.000,26.750,26.188,553500.000,-0.004751,,,284262.000,0.315,0.143,26.000,,-0.004751,0.015,0.015,0.027,0.027,0.010
20053,2001/01/12,,11,1,6022,87161C10,SNV,SYNOVUS FINANCIAL CORP,,,,N,A,R,781,999,1,6021,87161C50,,,,,,,,,,,,,,,,,,,,,,,,,25.438,26.375,25.938,650400.000,-0.009547,,,284262.000,0.315,0.143,26.375,,-0.009547,-0.004,-0.004,0.019,0.019,-0.006
20053,2001/01/16,,11,1,6022,87161C10,SNV,SYNOVUS FINANCIAL CORP,,,,N,A,R,781,999,1,6021,87161C50,,,,,,,,,,,,,,,,,,,,,,,,,25.750,26.438,26.438,616000.000,0.019277,,,284262.000,0.315,0.143,25.875,,0.019277,0.006,0.006,0.019,0.019,0.006
