PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
84176,2001/01/02,,11,1,2711,81105420,SSP,SCRIPPS E W CO OHIO,A,,,N,A,R,31806,26972,3,2711,81105440,,,,,,,,,,,,,,,,,,,,,,,,,60.875,62.750,60.938,107700.000,-0.030815,60.750,61.125,59517.000,9.471,0.667,62.750,,-0.030815,-0.034,-0.034,-0.001,-0.001,-0.028
84176,2001/01/03,,11,1,2711,81105420,SSP,SCRIPPS E W CO OHIO,A,,,N,A,R,31806,26972,3,2711,81105440,,,,,,,,,,,,,,,,,,,,,,,,,59.938,62.062,61.375,201600.000,0.007179,61.250,61.750,59517.000,9.471,0.667,60.375,,0.007179,0.053,0.053,0.046,0.046,0.050
84176,2001/01/04,,11,1,2711,81105420,SSP,SCRIPPS E W CO OHIO,A,,,N,A,R,31806,26972,3,2711,81105440,,,,,,,,,,,,,,,,,,,,,,,,,61.750,63.375,63.062,147600.000,0.027495,62.875,63.250,59517.000,9.471,0.667,61.750,,0.027495,-0.012,-0.012,0.011,0.011,-0.011
84176,2001/01/05,,11,1,2711,81105420,SSP,SCRIPPS E W CO OHIO,A,,,N,A,R,31806,26972,3,2711,81105440,,,,,,,,,,,,,,,,,,,,,,,,,60.750,62.438,61.750,219000.000,-0.020813,61.500,62.000,59517.000,9.471,0.667,62.438,,-0.020813,-0.029,-0.029,-0.009,-0.009,-0.026
84176,2001/01/08,,11,1,2711,81105420,SSP,SCRIPPS E W CO OHIO,A,,,N,A,R,31806,26972,3,2711,81105440,,,,,,,,,,,,,,,,,,,,,,,,,60.500,62.125,60.750,280700.000,-0.016194,60.500,61.000,59517.000,9.471,0.667,62.000,,-0.016194,-0.003,-0.004,-0.005,-0.005,-0.002
84176,2001/01/09,,11,1,2711,81105420,SSP,SCRIPPS E W CO OHIO,A,,,N,A,R,31806,26972,3,2711,81105440,,,,,,,,,,,,,,,,,,,,,,,,,60.750,61.938,61.562,162200.000,0.013374,61.375,61.750,59517.000,9.471,0.667,60.750,,0.013374,0.005,0.005,0.012,0.012,0.004
84176,2001/01/10,,11,1,2711,81105420,SSP,SCRIPPS E W CO OHIO,A,,,N,A,R,31806,26972,3,2711,81105440,,,,,,,,,,,,,,,,,,,,,,,,,60.000,61.812,60.000,188900.000,-0.025381,59.875,60.250,59517.000,9.471,0.667,61.812,,-0.025381,0.014,0.014,0.021,0.020,0.010
84176,2001/01/11,,11,1,2711,81105420,SSP,SCRIPPS E W CO OHIO,A,,,N,A,R,31806,26972,3,2711,81105440,,,,,,,,,,,,,,,,,,,,,,,,,60.562,62.000,61.875,122400.000,0.031250,61.500,62.125,59517.000,9.471,0.667,60.625,,0.031250,0.015,0.015,0.027,0.027,0.010
84176,2001/01/12,,11,1,2711,81105420,SSP,SCRIPPS E W CO OHIO,A,,,N,A,R,31806,26972,3,2711,81105440,,,,,,,,,,,,,,,,,,,,,,,,,61.875,64.312,63.000,242400.000,0.018182,62.750,63.125,59517.000,9.471,0.667,61.875,,0.018182,-0.004,-0.004,0.019,0.019,-0.006
84176,2001/01/16,,11,1,2711,81105420,SSP,SCRIPPS E W CO OHIO,A,,,N,A,R,31806,26972,3,2711,81105440,,,,,,,,,,,,,,,,,,,,,,,,,62.125,64.188,64.188,177600.000,0.018849,63.875,64.375,59517.000,9.471,0.667,62.750,,0.018849,0.006,0.006,0.019,0.019,0.006
