PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
79193,2001/01/02,,11,3,3825,82667510,STCO,SIGNAL TECHNOLOGY CORP,,STCO,,Q,A,R,12167,16506,3,3825,82667510,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,12.000,9.000,9.750,10.609,10.375,22515.000,0.037500,9.875,10.375,9923.000,1.000,1.000,9.750,68.000,0.037500,-0.034,-0.034,-0.001,-0.001,-0.028
79193,2001/01/03,,11,3,3825,82667510,STCO,SIGNAL TECHNOLOGY CORP,,STCO,,Q,A,R,12167,16506,3,3825,82667510,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,14.000,9.000,9.625,11.000,10.812,43950.000,0.042169,10.625,10.812,9923.000,1.000,1.000,10.359,40.000,0.042169,0.053,0.053,0.046,0.046,0.050
79193,2001/01/04,,11,3,3825,82667510,STCO,SIGNAL TECHNOLOGY CORP,,STCO,,Q,A,R,12167,16506,3,3825,82667510,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,10.000,9.000,10.375,11.125,11.000,42590.000,0.017341,11.000,11.125,9923.000,1.000,1.000,10.375,55.000,0.017341,-0.012,-0.012,0.011,0.011,-0.011
79193,2001/01/05,,11,3,3825,82667510,STCO,SIGNAL TECHNOLOGY CORP,,STCO,,Q,A,R,12167,16506,3,3825,82667510,,,,,,,,,,,,,,,,,,,,,,,,,10.875,11.250,11.000,15675.000,0.000000,11.000,11.125,9923.000,1.000,1.000,11.062,18.000,0.000000,-0.029,-0.029,-0.009,-0.009,-0.026
79193,2001/01/08,,11,3,3825,82667510,STCO,SIGNAL TECHNOLOGY CORP,,STCO,,Q,A,R,12167,16506,3,3825,82667510,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,11.000,9.000,11.000,11.125,11.000,8200.000,0.000000,11.000,11.125,9923.000,1.000,1.000,11.062,12.000,0.000000,-0.003,-0.004,-0.005,-0.005,-0.002
79193,2001/01/09,,11,3,3825,82667510,STCO,SIGNAL TECHNOLOGY CORP,,STCO,,Q,A,R,12167,16506,3,3825,82667510,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,10.000,9.000,11.000,11.250,11.250,84220.000,0.022727,11.000,11.250,9923.000,1.000,1.000,11.000,17.000,0.022727,0.005,0.005,0.012,0.012,0.004
79193,2001/01/10,,11,3,3825,82667510,STCO,SIGNAL TECHNOLOGY CORP,,STCO,,Q,A,R,12167,16506,3,3825,82667510,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,11.000,9.000,10.625,11.250,11.250,42200.000,0.000000,11.000,11.250,9923.000,1.000,1.000,11.234,27.000,0.000000,0.014,0.014,0.021,0.020,0.010
79193,2001/01/11,,11,3,3825,82667510,STCO,SIGNAL TECHNOLOGY CORP,,STCO,,Q,A,R,12167,16506,3,3825,82667510,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,13.000,9.000,10.250,11.000,10.375,9600.000,-0.077778,10.312,10.375,9923.000,1.000,1.000,11.000,34.000,-0.077778,0.015,0.015,0.027,0.027,0.010
79193,2001/01/12,,11,3,3825,82667510,STCO,SIGNAL TECHNOLOGY CORP,,STCO,,Q,A,R,12167,16506,3,3825,82667510,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,12.000,9.000,10.141,11.125,11.125,23000.000,0.072289,10.938,11.125,9923.000,1.000,1.000,10.141,50.000,0.072289,-0.004,-0.004,0.019,0.019,-0.006
79193,2001/01/16,,11,3,3825,82667510,STCO,SIGNAL TECHNOLOGY CORP,,STCO,,Q,A,R,12167,16506,3,3825,82667510,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,13.000,9.000,10.875,11.000,10.875,11900.000,-0.022472,10.938,11.000,9923.000,1.000,1.000,11.000,11.000,-0.022472,0.006,0.006,0.019,0.019,0.006
79193,2001/01/17,,11,3,3825,82667510,STCO,SIGNAL TECHNOLOGY CORP,,STCO,,Q,A,R,12167,16506,3,3825,82667510,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,11.000,9.000,11.000,11.250,11.125,41120.000,0.022989,10.875,11.250,9923.000,1.000,1.000,11.000,39.000,0.022989,0.004,0.004,0.013,0.013,0.002
