PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
89641,2002/12/11,2002/12/15,12,1,3572,G7945J10,STX,SEAGATE TECHNOLOGY HOLDINGS,,STX,,N,A,R,43807,39467,3,3572,G7945M10,,,,,,,,2.000,35.000,357.000,,,,,,,,,,,,,,,11.250,12.000,11.500,36719900.000,C,11.510,11.600,428000.000,1.000,1.000,11.500,,C,0.001,0.001,0.002,0.001,0.001
89641,2002/12/12,,12,1,3572,G7945J10,STX,SEAGATE TECHNOLOGY HOLDINGS,,STX,,N,A,R,43807,39467,3,3572,G7945M10,,,,,,,,,35.000,357.000,,,,,,,,,,,,,,,11.020,11.590,11.180,9195600.000,-0.027826,11.160,11.200,428000.000,1.000,1.000,11.500,,-0.027826,-0.002,-0.002,0.002,0.002,-0.004
89641,2002/12/13,,12,1,3572,G7945J10,STX,SEAGATE TECHNOLOGY HOLDINGS,,STX,,N,A,R,43807,39467,3,3572,G7945M10,,,,,,,,,35.000,357.000,,,,,,,,,,,,,,,10.950,11.500,11.420,7739400.000,0.021467,11.410,11.450,428000.000,1.000,1.000,11.100,,0.021467,-0.013,-0.013,-0.010,-0.010,-0.013
89641,2002/12/16,2004/06/09,12,1,3572,G7945J10,STX,SEAGATE TECHNOLOGY,,STX,,N,A,R,43807,39467,3,3572,G7945M10,,,,,,,,2.000,35.000,357.000,,,,,,,,,,,,,,,11.130,11.620,11.610,3836400.000,0.016637,11.590,11.660,428000.000,1.000,1.000,11.320,,0.016637,0.022,0.022,0.009,0.009,0.024
89641,2002/12/17,,12,1,3572,G7945J10,STX,SEAGATE TECHNOLOGY,,STX,,N,A,R,43807,39467,3,3572,G7945M10,,,,,,,,,35.000,357.000,,,,,,,,,,,,,,,11.450,11.780,11.500,2729900.000,-0.009475,11.480,11.510,428000.000,1.000,1.000,11.600,,-0.009475,-0.008,-0.008,-0.005,-0.005,-0.008
89641,2002/12/18,,12,1,3572,G7945J10,STX,SEAGATE TECHNOLOGY,,STX,,N,A,R,43807,39467,3,3572,G7945M10,,,,,,,,,35.000,357.000,,,,,,,,,,,,,,,11.130,11.430,11.200,2152800.000,-0.026087,11.100,11.200,428000.000,1.000,1.000,11.420,,-0.026087,-0.013,-0.013,-0.013,-0.013,-0.013
89641,2002/12/19,,12,1,3572,G7945J10,STX,SEAGATE TECHNOLOGY,,STX,,N,A,R,43807,39467,3,3572,G7945M10,,,,,,,,,35.000,357.000,,,,,,,,,,,,,,,10.710,11.200,10.760,6450800.000,-0.039286,10.760,10.780,428000.000,1.000,1.000,11.150,,-0.039286,-0.007,-0.007,-0.004,-0.004,-0.008
89641,2002/12/20,,12,1,3572,G7945J10,STX,SEAGATE TECHNOLOGY,,STX,,N,A,R,43807,39467,3,3572,G7945M10,,,,,,,,,35.000,357.000,,,,,,,,,,,,,,,10.560,10.940,10.810,2930900.000,0.004647,10.780,10.810,428000.000,1.000,1.000,10.850,,0.004647,0.012,0.012,0.004,0.004,0.013
89641,2002/12/23,,12,1,3572,G7945J10,STX,SEAGATE TECHNOLOGY,,STX,,N,A,R,43807,39467,3,3572,G7945M10,,,,,,,,,35.000,357.000,,,,,,,,,,,,,,,10.200,10.710,10.400,3455900.000,-0.037928,10.290,10.440,428000.000,1.000,1.000,10.710,,-0.037928,0.003,0.003,0.002,0.002,0.002
89641,2002/12/24,,12,1,3572,G7945J10,STX,SEAGATE TECHNOLOGY,,STX,,N,A,R,43807,39467,3,3572,G7945M10,,,,,,,,,35.000,357.000,,,,,,,,,,,,,,,10.000,10.450,10.240,3302500.000,-0.015385,10.220,10.250,428000.000,1.000,1.000,10.400,,-0.015385,-0.005,-0.005,0.001,0.001,-0.005
