PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
76149,2001/01/02,,11,1,5411,78651420,SWY,SAFEWAY INC,,,,N,A,R,22765,0,1,5411,78651420,,,,,,,,,,,,,,,,,,,,,,,,,59.938,61.375,60.438,3185800.000,-0.033000,,,501100.000,1.118,1.000,61.000,,-0.033000,-0.034,-0.034,-0.001,-0.001,-0.028
76149,2001/01/03,,11,1,5411,78651420,SWY,SAFEWAY INC,,,,N,A,R,22765,0,1,5411,78651420,,,,,,,,,,,,,,,,,,,,,,,,,56.250,60.125,57.250,3236300.000,-0.052740,,,501100.000,1.118,1.000,59.562,,-0.052740,0.053,0.053,0.046,0.046,0.050
76149,2001/01/04,,11,1,5411,78651420,SWY,SAFEWAY INC,,,,N,A,R,22765,0,1,5411,78651420,,,,,,,,,,,,,,,,,,,,,,,,,51.250,56.688,52.938,7540200.000,-0.075328,,,501100.000,1.118,1.000,56.438,,-0.075328,-0.012,-0.012,0.011,0.011,-0.011
76149,2001/01/05,,11,1,5411,78651420,SWY,SAFEWAY INC,,,,N,A,R,22765,0,1,5411,78651420,,,,,,,,,,,,,,,,,,,,,,,,,52.062,54.000,52.438,4565300.000,-0.009445,,,501100.000,1.118,1.000,53.438,,-0.009445,-0.029,-0.029,-0.009,-0.009,-0.026
76149,2001/01/08,,11,1,5411,78651420,SWY,SAFEWAY INC,,,,N,A,R,22765,0,1,5411,78651420,,,,,,,,,,,,,,,,,,,,,,,,,52.625,54.750,53.562,2538400.000,0.021454,,,501100.000,1.118,1.000,52.875,,0.021454,-0.003,-0.004,-0.005,-0.005,-0.002
76149,2001/01/09,,11,1,5411,78651420,SWY,SAFEWAY INC,,,,N,A,R,22765,0,1,5411,78651420,,,,,,,,,,,,,,,,,,,,,,,,,53.125,54.500,54.000,1497400.000,0.008168,,,501100.000,1.118,1.000,53.312,,0.008168,0.005,0.005,0.012,0.012,0.004
76149,2001/01/10,,11,1,5411,78651420,SWY,SAFEWAY INC,,,,N,A,R,22765,0,1,5411,78651420,,,,,,,,,,,,,,,,,,,,,,,,,52.562,54.688,53.000,1644100.000,-0.018519,,,501100.000,1.118,1.000,54.125,,-0.018519,0.014,0.014,0.021,0.020,0.010
76149,2001/01/11,,11,1,5411,78651420,SWY,SAFEWAY INC,,,,N,A,R,22765,0,1,5411,78651420,,,,,,,,,,,,,,,,,,,,,,,,,52.062,53.000,52.250,2355900.000,-0.014151,,,501100.000,1.118,1.000,52.625,,-0.014151,0.015,0.015,0.027,0.027,0.010
76149,2001/01/12,,11,1,5411,78651420,SWY,SAFEWAY INC,,,,N,A,R,22765,0,1,5411,78651420,,,,,,,,,,,,,,,,,,,,,,,,,50.125,51.750,50.250,5395100.000,-0.038278,,,501100.000,1.118,1.000,51.562,,-0.038278,-0.004,-0.004,0.019,0.019,-0.006
76149,2001/01/16,,11,1,5411,78651420,SWY,SAFEWAY INC,,,,N,A,R,22765,0,1,5411,78651420,,,,,,,,,,,,,,,,,,,,,,,,,49.625,53.438,52.562,3580200.000,0.046020,,,501100.000,1.118,1.000,50.000,,0.046020,0.006,0.006,0.019,0.019,0.006
