PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
37161,2001/01/02,,11,1,4911,87237510,TE,T E C O ENERGY INC,,,,N,A,R,21700,0,1,4911,87237510,,,,,,,,,,,,,,,,,,,,,,,,,31.000,32.125,31.125,522500.000,-0.038610,,,125937.000,1.000,1.000,32.125,,-0.038610,-0.034,-0.034,-0.001,-0.001,-0.028
37161,2001/01/03,,11,1,4911,87237510,TE,T E C O ENERGY INC,,,,N,A,R,21700,0,1,4911,87237510,,,,,,,,,,,,,,,,,,,,,,,,,30.250,31.750,30.500,626600.000,-0.020080,,,125937.000,1.000,1.000,30.500,,-0.020080,0.053,0.053,0.046,0.046,0.050
37161,2001/01/04,,11,1,4911,87237510,TE,T E C O ENERGY INC,,,,N,A,R,21700,0,1,4911,87237510,,,,,,,,,,,,,,,,,,,,,,,,,27.500,30.250,27.938,700200.000,-0.084016,,,125937.000,1.000,1.000,30.250,,-0.084016,-0.012,-0.012,0.011,0.011,-0.011
37161,2001/01/05,,11,1,4911,87237510,TE,T E C O ENERGY INC,,,,N,A,R,21700,0,1,4911,87237510,,,,,,,,,,,,,,,,,,,,,,,,,27.750,28.625,28.250,353600.000,0.011186,,,125937.000,1.000,1.000,28.000,,0.011186,-0.029,-0.029,-0.009,-0.009,-0.026
37161,2001/01/08,,11,1,4911,87237510,TE,T E C O ENERGY INC,,,,N,A,R,21700,0,1,4911,87237510,,,,,,,,,,,,,,,,,,,,,,,,,27.875,28.812,28.750,167100.000,0.017699,,,125937.000,1.000,1.000,28.250,,0.017699,-0.003,-0.004,-0.005,-0.005,-0.002
37161,2001/01/09,,11,1,4911,87237510,TE,T E C O ENERGY INC,,,,N,A,R,21700,0,1,4911,87237510,,,,,,,,,,,,,,,,,,,,,,,,,28.188,28.812,28.625,193700.000,-0.004348,,,125937.000,1.000,1.000,28.750,,-0.004348,0.005,0.005,0.012,0.012,0.004
37161,2001/01/10,,11,1,4911,87237510,TE,T E C O ENERGY INC,,,,N,A,R,21700,0,1,4911,87237510,,,,,,,,,,,,,,,,,,,,,,,,,28.000,28.625,28.250,494600.000,-0.013100,,,125937.000,1.000,1.000,28.500,,-0.013100,0.014,0.014,0.021,0.020,0.010
37161,2001/01/11,,11,1,4911,87237510,TE,T E C O ENERGY INC,,,,N,A,R,21700,0,1,4911,87237510,,,,,,,,,,,,,,,,,,,,,,,,,27.000,28.250,27.062,451800.000,-0.042035,,,125937.000,1.000,1.000,28.125,,-0.042035,0.015,0.015,0.027,0.027,0.010
37161,2001/01/12,,11,1,4911,87237510,TE,T E C O ENERGY INC,,,,N,A,R,21700,0,1,4911,87237510,,,,,,,,,,,,,,,,,,,,,,,,,26.500,27.625,27.562,411900.000,0.018476,,,125937.000,1.000,1.000,27.000,,0.018476,-0.004,-0.004,0.019,0.019,-0.006
37161,2001/01/16,,11,1,4911,87237510,TE,T E C O ENERGY INC,,,,N,A,R,21700,0,1,4911,87237510,,,,,,,,,,,,,,,,,,,,,,,,,26.125,27.750,27.562,498200.000,0.000000,,,125937.000,1.000,1.000,27.188,,0.000000,0.006,0.006,0.019,0.019,0.006
37161,2001/01/17,,11,1,4911,87237510,TE,T E C O ENERGY INC,,,,N,A,R,21700,0,1,4911,87237510,,,,,,,,,,,,,,,,,,,,,,,,,27.375,27.875,27.625,247100.000,0.002268,,,125937.000,1.000,1.000,27.562,,0.002268,0.004,0.004,0.013,0.013,0.002
37161,2001/01/18,,11,1,4911,87237510,TE,T E C O ENERGY INC,,,,N,A,R,21700,0,1,4911,87237510,,,,,,,,,,,,,,,,,,,,,,,,,27.500,28.062,28.062,213400.000,0.015837,,,125937.000,1.000,1.000,27.500,,0.015837,0.012,0.012,0.009,0.008,0.014
37161,2001/01/19,,11,1,4911,87237510,TE,T E C O ENERGY INC,,,,N,A,R,21700,0,1,4911,87237510,,,,,,,,,,,,,,,,,,,,,,,,,27.562,28.375,28.375,363400.000,0.011136,,,125937.000,1.000,1.000,27.938,,0.011136,-0.004,-0.004,0.004,0.004,-0.004
