PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
62308,2001/01/02,,11,1,6311,89102710,TMK,TORCHMARK CORP,,,,N,A,R,21764,0,1,6311,89102710,,,,,,,,,,,,,,,,,,,,,,,,,36.500,38.375,36.750,238200.000,-0.043902,,,127544.000,2.250,2.250,38.000,,-0.043902,-0.034,-0.034,-0.001,-0.001,-0.028
62308,2001/01/03,,11,1,6311,89102710,TMK,TORCHMARK CORP,,,,N,A,R,21764,0,1,6311,89102710,,,,,,,,,,,,,,,,,,,,,,,,,36.312,38.125,37.625,357300.000,0.023810,,,127544.000,2.250,2.250,36.312,,0.023810,0.053,0.053,0.046,0.046,0.050
62308,2001/01/04,,11,1,6311,89102710,TMK,TORCHMARK CORP,,,,N,A,R,21764,0,1,6311,89102710,,,,,,,,,,,,,,,,,,,,,,,,,34.188,37.438,34.938,781300.000,-0.071429,,,127544.000,2.250,2.250,37.375,,-0.071429,-0.012,-0.012,0.011,0.011,-0.011
62308,2001/01/05,,11,1,6311,89102710,TMK,TORCHMARK CORP,,,,N,A,R,21764,0,1,6311,89102710,2000/10/24,,,,,2001/02/01,2001/01/09,0.000,,,1232.000,0.090,0.000,0.000,,,,,,,,,,,34.000,34.938,34.000,371700.000,-0.024258,,,127544.000,2.250,2.250,34.750,,-0.026834,-0.029,-0.029,-0.009,-0.009,-0.026
62308,2001/01/08,,11,1,6311,89102710,TMK,TORCHMARK CORP,,,,N,A,R,21764,0,1,6311,89102710,,,,,,,,,,,,,,,,,,,,,,,,,33.812,34.938,34.500,607000.000,0.014706,,,127544.000,2.250,2.250,33.812,,0.014706,-0.003,-0.004,-0.005,-0.005,-0.002
62308,2001/01/09,,11,1,6311,89102710,TMK,TORCHMARK CORP,,,,N,A,R,21764,0,1,6311,89102710,,,,,,,,,,,,,,,,,,,,,,,,,34.312,35.625,34.875,392100.000,0.010870,,,127544.000,2.250,2.250,34.438,,0.010870,0.005,0.005,0.012,0.012,0.004
62308,2001/01/10,,11,1,6311,89102710,TMK,TORCHMARK CORP,,,,N,A,R,21764,0,1,6311,89102710,,,,,,,,,,,,,,,,,,,,,,,,,34.812,35.688,35.188,247500.000,0.008961,,,127544.000,2.250,2.250,35.125,,0.008961,0.014,0.014,0.021,0.020,0.010
62308,2001/01/11,,11,1,6311,89102710,TMK,TORCHMARK CORP,,,,N,A,R,21764,0,1,6311,89102710,,,,,,,,,,,,,,,,,,,,,,,,,33.750,35.188,33.875,389300.000,-0.037300,,,127544.000,2.250,2.250,35.000,,-0.037300,0.015,0.015,0.027,0.027,0.010
62308,2001/01/12,,11,1,6311,89102710,TMK,TORCHMARK CORP,,,,N,A,R,21764,0,1,6311,89102710,,,,,,,,,,,,,,,,,,,,,,,,,32.562,34.188,33.375,512100.000,-0.014760,,,127544.000,2.250,2.250,34.125,,-0.014760,-0.004,-0.004,0.019,0.019,-0.006
62308,2001/01/16,,11,1,6311,89102710,TMK,TORCHMARK CORP,,,,N,A,R,21764,0,1,6311,89102710,,,,,,,,,,,,,,,,,,,,,,,,,33.625,34.188,34.125,574600.000,0.022472,,,127544.000,2.250,2.250,33.688,,0.022472,0.006,0.006,0.019,0.019,0.006
