PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
86339,2001/01/02,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,,,,,,,,,,,,,,,,,,25.000,27.125,25.625,422652.000,-0.053118,25.562,25.625,198912.000,1.000,1.000,27.125,672.000,-0.053118,-0.034,-0.034,-0.001,-0.001,-0.028
86339,2001/01/03,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,,,,,,,,,,,,,,,,,,24.188,28.375,28.062,1888365.000,0.095122,28.000,28.062,198912.000,1.000,1.000,25.016,1598.000,0.095122,0.053,0.053,0.046,0.046,0.050
86339,2001/01/04,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,36.000,1.000,27.250,29.562,29.500,1069562.000,0.051225,29.375,29.562,198912.000,1.000,1.000,28.062,1069.000,0.051225,-0.012,-0.012,0.011,0.011,-0.011
86339,2001/01/05,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,37.000,1.000,25.625,29.250,26.062,2294364.000,-0.116525,26.000,26.125,198912.000,1.000,1.000,29.219,1719.000,-0.116525,-0.029,-0.029,-0.009,-0.009,-0.026
86339,2001/01/08,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,,,,,,,,,,,,,,,,,,25.500,27.000,26.688,338206.000,0.023981,26.688,26.750,198912.000,1.000,1.000,26.297,590.000,0.023981,-0.003,-0.004,-0.005,-0.005,-0.002
86339,2001/01/09,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,36.000,1.000,26.812,27.812,27.625,625310.000,0.035129,27.625,27.688,198912.000,1.000,1.000,27.062,564.000,0.035129,0.005,0.005,0.012,0.012,0.004
86339,2001/01/10,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,,,,,,,,,,,,,,,,,,27.000,27.750,27.500,1061982.000,-0.004525,27.438,27.500,198912.000,1.000,1.000,27.734,609.000,-0.004525,0.014,0.014,0.021,0.020,0.010
86339,2001/01/11,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,,,,,,,,,,,,,,,,,,27.250,30.125,29.625,2678082.000,0.077273,29.562,29.625,198912.000,1.000,1.000,27.453,1543.000,0.077273,0.015,0.015,0.027,0.027,0.010
86339,2001/01/12,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,37.000,1.000,26.062,27.625,26.750,5849452.000,-0.097046,26.688,26.750,198912.000,1.000,1.000,27.188,2989.000,-0.097046,-0.004,-0.004,0.019,0.019,-0.006
86339,2001/01/16,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,35.000,1.000,25.062,26.875,26.000,2420169.000,-0.028037,25.938,26.000,198912.000,1.000,1.000,26.812,1466.000,-0.028037,0.006,0.006,0.019,0.019,0.006
86339,2001/01/17,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,36.000,1.000,26.312,27.000,26.500,1587132.000,0.019231,26.500,26.750,198912.000,1.000,1.000,26.312,1049.000,0.019231,0.004,0.004,0.013,0.013,0.002
86339,2001/01/18,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,35.000,1.000,25.625,27.000,26.500,878245.000,0.000000,26.438,26.500,198912.000,1.000,1.000,26.938,709.000,0.000000,0.012,0.012,0.009,0.008,0.014
86339,2001/01/19,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,36.000,1.000,26.188,26.875,26.688,744117.000,0.007075,26.500,26.688,198912.000,1.000,1.000,26.609,576.000,0.007075,-0.004,-0.004,0.004,0.004,-0.004
86339,2001/01/22,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,,,,,,,,,,,,,,,,,,26.375,27.000,26.375,800279.000,-0.011710,26.375,26.438,198912.000,1.000,1.000,26.562,686.000,-0.011710,0.000,0.000,0.005,0.005,0.000
86339,2001/01/23,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,,,,,,,,,,,,,,,,,,26.375,27.375,27.250,1832295.000,0.033175,27.250,27.375,198912.000,1.000,1.000,26.625,1263.000,0.033175,0.016,0.016,0.015,0.015,0.013
86339,2001/01/24,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,,,,,,,,,,,,,,,,,,26.750,27.500,27.000,1070935.000,-0.009174,26.938,27.000,198912.000,1.000,1.000,27.438,748.000,-0.009174,0.003,0.003,0.007,0.007,0.003
86339,2001/01/25,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,,,,,,,,,,,,,,,,,,26.562,27.188,27.062,2057351.000,0.002315,27.000,27.062,198912.000,1.000,1.000,27.000,810.000,0.002315,-0.008,-0.008,-0.003,-0.003,-0.005
86339,2001/01/26,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,38.000,1.000,26.500,28.875,28.812,2074797.000,0.064665,28.750,28.812,198912.000,1.000,1.000,26.562,1427.000,0.064665,-0.001,-0.001,0.002,0.002,-0.002
86339,2001/01/29,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,37.000,1.000,28.625,29.688,29.500,2667869.000,0.023861,29.375,29.625,198912.000,1.000,1.000,28.812,1348.000,0.023861,0.009,0.009,0.010,0.010,0.007
86339,2001/01/30,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,36.000,1.000,29.062,29.875,29.438,1288690.000,-0.002119,29.375,29.438,198912.000,1.000,1.000,29.812,952.000,-0.002119,0.007,0.007,0.010,0.009,0.007
86339,2001/01/31,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,,,,,,,,,,,,,,,,,,27.250,29.688,27.938,1287129.000,-0.050955,27.938,28.000,198912.000,1.000,1.000,29.625,1041.000,-0.050955,-0.007,-0.007,-0.000,-0.000,-0.006
86339,2001/02/01,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,,,,,,,,,,,,,,,,,,27.688,28.750,28.625,1233976.000,0.024609,28.562,28.625,198912.000,1.000,1.000,28.188,1135.000,0.024609,0.004,0.004,0.002,0.002,0.005
86339,2001/02/02,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,,,,,,,,,,,,,,,,,,27.562,28.562,27.938,1333433.000,-0.024017,27.875,27.938,198912.000,1.000,1.000,28.562,966.000,-0.024017,-0.019,-0.019,-0.009,-0.009,-0.017
86339,2001/02/05,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,37.000,1.000,26.375,28.000,26.500,1960612.000,-0.051454,26.500,26.562,198912.000,1.000,1.000,28.000,1215.000,-0.051454,0.002,0.002,-0.004,-0.004,0.004
86339,2001/02/06,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,36.000,1.000,26.250,27.875,26.938,1906010.000,0.016509,26.750,26.938,198912.000,1.000,1.000,26.406,1313.000,0.016509,0.000,0.000,0.002,0.002,-0.002
86339,2001/02/07,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,,,,,,,,,,,,,,,,,,26.625,28.875,28.250,1315354.000,0.048724,28.250,28.312,198912.000,1.000,1.000,26.688,1033.000,0.048724,-0.009,-0.009,-0.004,-0.004,-0.008
86339,2001/02/08,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,37.000,1.000,27.312,28.938,27.625,959199.000,-0.022124,27.500,27.562,198912.000,1.000,1.000,28.250,997.000,-0.022124,-0.006,-0.007,-0.003,-0.003,-0.006
86339,2001/02/09,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,36.000,1.000,24.438,27.500,25.500,2844812.000,-0.076923,25.375,25.500,198912.000,1.000,1.000,27.438,1843.000,-0.076923,-0.014,-0.014,-0.009,-0.009,-0.013
86339,2001/02/12,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,,,,,,,,,,,,,,,,,,25.188,26.812,26.500,602257.000,0.039216,26.500,26.625,198912.000,1.000,1.000,25.500,996.000,0.039216,0.010,0.010,0.005,0.005,0.012
86339,2001/02/13,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,,,,,,,,,,,,,,,,,,26.562,27.125,26.938,1290925.000,0.016509,26.938,27.000,198912.000,1.000,1.000,26.625,982.000,0.016509,-0.009,-0.009,-0.003,-0.004,-0.009
86339,2001/02/14,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,37.000,1.000,26.250,27.188,26.562,951690.000,-0.013921,26.562,26.625,198912.000,1.000,1.000,27.000,1390.000,-0.013921,-0.000,-0.000,-0.000,-0.001,-0.002
86339,2001/02/15,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,38.000,1.000,25.250,27.062,25.562,1834181.000,-0.037647,25.562,25.625,198912.000,1.000,1.000,27.062,2132.000,-0.037647,0.009,0.009,0.009,0.009,0.008
86339,2001/02/16,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,37.000,1.000,24.250,26.750,26.250,1837013.000,0.026895,26.250,26.312,198912.000,1.000,1.000,25.250,1318.000,0.026895,-0.021,-0.021,-0.014,-0.014,-0.019
86339,2001/02/20,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,,,,,,,,,,,,,,,,,,23.000,26.625,23.938,1392936.000,-0.088095,23.875,23.938,198912.000,1.000,1.000,26.250,1349.000,-0.088095,-0.019,-0.019,-0.012,-0.012,-0.017
86339,2001/02/21,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,38.000,1.000,23.375,24.375,24.312,1182580.000,0.015666,24.250,24.312,198912.000,1.000,1.000,23.688,1222.000,0.015666,-0.018,-0.018,-0.016,-0.016,-0.019
86339,2001/02/22,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,0.000,,,,,,,,,,,,,1.000,2.000,37.000,1.000,22.625,24.875,24.688,1153236.000,0.015424,24.625,24.688,198912.000,1.000,1.000,24.188,1343.000,0.015424,-0.005,-0.005,-0.011,-0.011,-0.002
86339,2001/02/23,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,,,,,,,,,,,,,,,,,,23.000,25.188,24.312,1339145.000,-0.015190,24.250,24.312,198912.000,1.000,1.000,25.000,1287.000,-0.015190,-0.004,-0.004,-0.003,-0.003,-0.006
86339,2001/02/26,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,,,,,,,,,,,,,,,,,,24.250,25.438,25.438,731054.000,0.046272,25.375,25.438,198912.000,1.000,1.000,24.500,850.000,0.046272,0.019,0.019,0.016,0.016,0.017
86339,2001/02/27,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,,,,,,,,,,,,,,,,,,24.312,25.438,25.000,673468.000,-0.017199,25.000,25.062,198912.000,1.000,1.000,25.406,791.000,-0.017199,-0.012,-0.012,-0.012,-0.012,-0.008
86339,2001/02/28,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,,,,,,,,,,,,,,,,,,24.500,25.438,25.125,856570.000,0.005000,25.125,25.188,198912.000,1.000,1.000,25.188,991.000,0.005000,-0.014,-0.014,-0.008,-0.008,-0.014
86339,2001/03/01,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,,,,,,,,,,,,,,,,,,24.375,25.438,24.938,965071.000,-0.007463,24.938,25.000,198912.000,1.000,1.000,25.000,1165.000,-0.007463,0.000,0.000,-0.006,-0.006,0.001
86339,2001/03/02,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,,,,,,,,,,,,,,,,,,23.625,25.500,25.000,1488654.000,0.002506,24.938,25.000,198912.000,1.000,1.000,24.750,749.000,0.002506,-0.005,-0.005,0.005,0.005,-0.006
86339,2001/03/05,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,,,,,,,,,,,,,,,,,,24.125,25.188,25.000,884331.000,0.000000,24.875,25.000,198912.000,1.000,1.000,24.938,731.000,0.000000,0.005,0.005,0.002,0.002,0.006
86339,2001/03/06,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,,,,,,,,,,,,,,,,,,24.938,25.562,25.312,888997.000,0.012500,25.250,25.312,198912.000,1.000,1.000,25.250,835.000,0.012500,0.011,0.011,0.010,0.010,0.010
86339,2001/03/07,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,,,,,,,,,,,,,,,,,,24.250,25.562,24.875,939448.000,-0.017284,24.812,24.875,198912.000,1.000,1.000,25.562,718.000,-0.017284,0.006,0.006,0.006,0.005,0.006
86339,2001/03/08,,11,3,4899,22822710,TWRS,CROWN CASTLE INTERNATIONAL CORP,,TWRS,,Q,A,R,16268,21751,1,4812,22822V10,,,,,,,,,,,,,,,,,,,,,,,,,23.812,24.875,23.812,550867.000,-0.042714,23.812,24.000,198912.000,1.000,1.000,24.625,510.000,-0.042714,-0.001,-0.001,-0.004,-0.004,0.002
