PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
45356,2001/01/02,,12,1,3569,90212410,TYC,TYCO INTERNATIONAL LTD NEW,,,,N,A,R,21791,0,1,7382,G5150210,,,,,,,,,,,,,,,,,,,,,,,,,52.688,55.812,53.000,8169800.000,-0.045045,52.500,53.500,1748650.000,1.370,0.239,55.000,,-0.045045,-0.034,-0.034,-0.001,-0.001,-0.028
45356,2001/01/03,,12,1,3569,90212410,TYC,TYCO INTERNATIONAL LTD NEW,,,,N,A,R,21791,0,1,7382,G5150210,,,,,,,,,,,,,,,,,,,,,,,,,51.875,57.000,56.500,13692500.000,0.066038,56.000,57.000,1748650.000,1.370,0.239,53.000,,0.066038,0.053,0.053,0.046,0.046,0.050
45356,2001/01/04,,12,1,3569,90212410,TYC,TYCO INTERNATIONAL LTD NEW,,,,N,A,R,21791,0,1,7382,G5150210,,,,,,,,,,,,,,,,,,,,,,,,,56.375,57.500,57.000,11743300.000,0.008850,56.500,57.500,1748650.000,1.370,0.239,56.750,,0.008850,-0.012,-0.012,0.011,0.011,-0.011
45356,2001/01/05,,12,1,3569,90212410,TYC,TYCO INTERNATIONAL LTD NEW,,,,N,A,R,21791,0,1,7382,G5150210,,,,,,,,,,,,,,,,,,,,,,,,,55.062,57.000,56.000,7514900.000,-0.017544,55.500,56.500,1748650.000,1.370,0.239,57.000,,-0.017544,-0.029,-0.029,-0.009,-0.009,-0.026
45356,2001/01/08,,12,1,3569,90212410,TYC,TYCO INTERNATIONAL LTD NEW,,,,N,A,R,21791,0,1,7382,G5150210,,,,,,,,,,,,,,,,,,,,,,,,,53.938,56.125,54.625,5520000.000,-0.024554,54.125,55.125,1748650.000,1.370,0.239,56.000,,-0.024554,-0.003,-0.004,-0.005,-0.005,-0.002
45356,2001/01/09,,12,1,3569,90212410,TYC,TYCO INTERNATIONAL LTD NEW,,,,N,A,R,21791,0,1,7382,G5150210,,,,,,,,,,,,,,,,,,,,,,,,,54.812,55.938,55.438,5268200.000,0.014874,54.938,55.938,1748650.000,1.370,0.239,54.875,,0.014874,0.005,0.005,0.012,0.012,0.004
45356,2001/01/10,,12,1,3569,90212410,TYC,TYCO INTERNATIONAL LTD NEW,,,,N,A,R,21791,0,1,7382,G5150210,,,,,,,,,,,,,,,,,,,,,,,,,55.062,57.500,56.812,8095200.000,0.024803,56.500,57.000,1748650.000,1.370,0.239,55.438,,0.024803,0.014,0.014,0.021,0.020,0.010
45356,2001/01/11,,12,1,3569,90212410,TYC,TYCO INTERNATIONAL LTD NEW,,,,N,A,R,21791,0,1,7382,G5150210,,,,,,,,,,,,,,,,,,,,,,,,,57.250,58.562,58.312,8801400.000,0.026403,57.812,58.375,1748650.000,1.370,0.239,57.500,,0.026403,0.015,0.015,0.027,0.027,0.010
45356,2001/01/12,,12,1,3569,90212410,TYC,TYCO INTERNATIONAL LTD NEW,,,,N,A,R,21791,0,1,7382,G5150210,,,,,,,,,,,,,,,,,,,,,,,,,58.062,60.188,59.250,13510900.000,0.016077,59.875,60.250,1748650.000,1.370,0.239,58.625,,0.016077,-0.004,-0.004,0.019,0.019,-0.006
45356,2001/01/16,,12,1,3569,90212410,TYC,TYCO INTERNATIONAL LTD NEW,,,,N,A,R,21791,0,1,7382,G5150210,,,,,,,,,,,,,,,,,,,,,,,,,59.062,60.250,59.625,9102000.000,0.006329,59.125,60.125,1748650.000,1.370,0.239,59.875,,0.006329,0.006,0.006,0.019,0.019,0.006
