PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
71175,2001/01/02,,11,1,6321,91529Y10,UNM,UNUMPROVIDENT CORP,,,,N,A,R,21798,0,1,6321,91529Y10,,,,,,,,,,,,,,,,,,,,,,,,,25.188,27.000,25.375,1002100.000,-0.055814,,,240492.000,1.000,1.000,27.000,,-0.055814,-0.034,-0.034,-0.001,-0.001,-0.028
71175,2001/01/03,,11,1,6321,91529Y10,UNM,UNUMPROVIDENT CORP,,,,N,A,R,21798,0,1,6321,91529Y10,,,,,,,,,,,,,,,,,,,,,,,,,25.188,27.750,26.188,1385100.000,0.032020,,,240492.000,1.000,1.000,25.375,,0.032020,0.053,0.053,0.046,0.046,0.050
71175,2001/01/04,,11,1,6321,91529Y10,UNM,UNUMPROVIDENT CORP,,,,N,A,R,21798,0,1,6321,91529Y10,,,,,,,,,,,,,,,,,,,,,,,,,24.125,26.688,24.438,1197200.000,-0.066826,,,240492.000,1.000,1.000,26.688,,-0.066826,-0.012,-0.012,0.011,0.011,-0.011
71175,2001/01/05,,11,1,6321,91529Y10,UNM,UNUMPROVIDENT CORP,,,,N,A,R,21798,0,1,6321,91529Y10,,,,,,,,,,,,,,,,,,,,,,,,,23.812,24.562,24.062,1032800.000,-0.015345,,,240492.000,1.000,1.000,24.438,,-0.015345,-0.029,-0.029,-0.009,-0.009,-0.026
71175,2001/01/08,,11,1,6321,91529Y10,UNM,UNUMPROVIDENT CORP,,,,N,A,R,21798,0,1,6321,91529Y10,,,,,,,,,,,,,,,,,,,,,,,,,23.938,24.562,24.062,674600.000,0.000000,,,240492.000,1.000,1.000,24.438,,0.000000,-0.003,-0.004,-0.005,-0.005,-0.002
71175,2001/01/09,,11,1,6321,91529Y10,UNM,UNUMPROVIDENT CORP,,,,N,A,R,21798,0,1,6321,91529Y10,,,,,,,,,,,,,,,,,,,,,,,,,24.062,25.062,24.750,1045700.000,0.028571,,,240492.000,1.000,1.000,24.062,,0.028571,0.005,0.005,0.012,0.012,0.004
71175,2001/01/10,,11,1,6321,91529Y10,UNM,UNUMPROVIDENT CORP,,,,N,A,R,21798,0,1,6321,91529Y10,,,,,,,,,,,,,,,,,,,,,,,,,24.938,25.625,25.062,486500.000,0.012626,,,240492.000,1.000,1.000,25.188,,0.012626,0.014,0.014,0.021,0.020,0.010
71175,2001/01/11,,11,1,6321,91529Y10,UNM,UNUMPROVIDENT CORP,,,,N,A,R,21798,0,1,6321,91529Y10,,,,,,,,,,,,,,,,,,,,,,,,,24.938,25.688,25.000,577500.000,-0.002494,,,240492.000,1.000,1.000,25.438,,-0.002494,0.015,0.015,0.027,0.027,0.010
71175,2001/01/12,,11,1,6321,91529Y10,UNM,UNUMPROVIDENT CORP,,,,N,A,R,21798,0,1,6321,91529Y10,,,,,,,,,,,,,,,,,,,,,,,,,24.188,25.250,24.438,895700.000,-0.022500,,,240492.000,1.000,1.000,25.250,,-0.022500,-0.004,-0.004,0.019,0.019,-0.006
71175,2001/01/16,,11,1,6321,91529Y10,UNM,UNUMPROVIDENT CORP,,,,N,A,R,21798,0,1,6321,91529Y10,,,,,,,,,,,,,,,,,,,,,,,,,24.125,25.438,25.062,610700.000,0.025575,,,240492.000,1.000,1.000,24.188,,0.025575,0.006,0.006,0.019,0.019,0.006
