PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
23536,2001/01/02,,11,1,4931,97665710,WEC,WISCONSIN ENERGY CORP,,,,N,A,R,21931,0,1,4911,92939U10,,,,,,,,,,,,,,,,,,,,,,,,,21.938,22.562,22.000,407500.000,-0.024931,,,120995.000,2.000,2.000,22.562,,-0.024931,-0.034,-0.034,-0.001,-0.001,-0.028
23536,2001/01/03,,11,1,4931,97665710,WEC,WISCONSIN ENERGY CORP,,,,N,A,R,21931,0,1,4911,92939U10,,,,,,,,,,,,,,,,,,,,,,,,,21.500,22.562,21.688,939800.000,-0.014205,,,120995.000,2.000,2.000,21.875,,-0.014205,0.053,0.053,0.046,0.046,0.050
23536,2001/01/04,,11,1,4931,97665710,WEC,WISCONSIN ENERGY CORP,,,,N,A,R,21931,0,1,4911,92939U10,,,,,,,,,,,,,,,,,,,,,,,,,19.875,21.500,20.438,597600.000,-0.057637,,,120995.000,2.000,2.000,21.438,,-0.057637,-0.012,-0.012,0.011,0.011,-0.011
23536,2001/01/05,,11,1,4931,97665710,WEC,WISCONSIN ENERGY CORP,,,,N,A,R,21931,0,1,4911,92939U10,,,,,,,,,,,,,,,,,,,,,,,,,19.938,20.625,20.125,433200.000,-0.015291,,,120995.000,2.000,2.000,20.438,,-0.015291,-0.029,-0.029,-0.009,-0.009,-0.026
23536,2001/01/08,,11,1,4931,97665710,WEC,WISCONSIN ENERGY CORP,,,,N,A,R,21931,0,1,4911,92939U10,,,,,,,,,,,,,,,,,,,,,,,,,19.938,20.438,20.250,366400.000,0.006211,,,120995.000,2.000,2.000,20.062,,0.006211,-0.003,-0.004,-0.005,-0.005,-0.002
23536,2001/01/09,,11,1,4931,97665710,WEC,WISCONSIN ENERGY CORP,,,,N,A,R,21931,0,1,4911,92939U10,,,,,,,,,,,,,,,,,,,,,,,,,20.000,20.312,20.188,475500.000,-0.003086,,,120995.000,2.000,2.000,20.188,,-0.003086,0.005,0.005,0.012,0.012,0.004
23536,2001/01/10,,11,1,4931,97665710,WEC,WISCONSIN ENERGY CORP,,,,N,A,R,21931,0,1,4911,92939U10,,,,,,,,,,,,,,,,,,,,,,,,,19.812,20.312,20.250,590800.000,0.003096,,,120995.000,2.000,2.000,20.062,,0.003096,0.014,0.014,0.021,0.020,0.010
23536,2001/01/11,,11,1,4931,97665710,WEC,WISCONSIN ENERGY CORP,,,,N,A,R,21931,0,1,4911,92939U10,,,,,,,,,,,,,,,,,,,,,,,,,19.500,20.188,19.562,266700.000,-0.033951,,,120995.000,2.000,2.000,20.188,,-0.033951,0.015,0.015,0.027,0.027,0.010
23536,2001/01/12,,11,1,4931,97665710,WEC,WISCONSIN ENERGY CORP,,,,N,A,R,21931,0,1,4911,92939U10,,,,,,,,,,,,,,,,,,,,,,,,,19.375,20.000,20.000,469500.000,0.022364,,,120995.000,2.000,2.000,19.500,,0.022364,-0.004,-0.004,0.019,0.019,-0.006
23536,2001/01/16,,11,1,4931,97665710,WEC,WISCONSIN ENERGY CORP,,,,N,A,R,21931,0,1,4911,92939U10,,,,,,,,,,,,,,,,,,,,,,,,,19.125,19.875,19.562,267300.000,-0.021875,,,120995.000,2.000,2.000,19.875,,-0.021875,0.006,0.006,0.019,0.019,0.006
23536,2001/01/17,,11,1,4931,97665710,WEC,WISCONSIN ENERGY CORP,,,,N,A,R,21931,0,1,4911,92939U10,,,,,,,,,,,,,,,,,,,,,,,,,19.188,19.625,19.438,270500.000,-0.006390,,,120995.000,2.000,2.000,19.312,,-0.006390,0.004,0.004,0.013,0.013,0.002
23536,2001/01/18,,11,1,4931,97665710,WEC,WISCONSIN ENERGY CORP,,,,N,A,R,21931,0,1,4911,92939U10,,,,,,,,,,,,,,,,,,,,,,,,,19.500,19.875,19.750,193800.000,0.016077,,,120995.000,2.000,2.000,19.688,,0.016077,0.012,0.012,0.009,0.008,0.014
23536,2001/01/19,,11,1,4931,97665710,WEC,WISCONSIN ENERGY CORP,,,,N,A,R,21931,0,1,4911,92939U10,,,,,,,,,,,,,,,,,,,,,,,,,19.312,20.000,19.812,286200.000,0.003165,,,120995.000,2.000,2.000,19.812,,0.003165,-0.004,-0.004,0.004,0.004,-0.004
23536,2001/01/22,,11,1,4931,97665710,WEC,WISCONSIN ENERGY CORP,,,,N,A,R,21931,0,1,4911,92939U10,,,,,,,,,,,,,,,,,,,,,,,,,19.625,20.188,19.875,385600.000,0.003155,,,120995.000,2.000,2.000,19.812,,0.003155,0.000,0.000,0.005,0.005,0.000
23536,2001/01/23,,11,1,4931,97665710,WEC,WISCONSIN ENERGY CORP,,,,N,A,R,21931,0,1,4911,92939U10,,,,,,,,,,,,,,,,,,,,,,,,,19.688,20.312,19.938,474700.000,0.003145,,,120995.000,2.000,2.000,20.125,,0.003145,0.016,0.016,0.015,0.015,0.013
23536,2001/01/24,,11,1,4931,97665710,WEC,WISCONSIN ENERGY CORP,,,,N,A,R,21931,0,1,4911,92939U10,,,,,,,,,,,,,,,,,,,,,,,,,19.875,20.438,20.250,320700.000,0.015674,,,120995.000,2.000,2.000,19.938,,0.015674,0.003,0.003,0.007,0.007,0.003
23536,2001/01/25,,11,1,4931,97665710,WEC,WISCONSIN ENERGY CORP,,,,N,A,R,21931,0,1,4911,92939U10,,,,,,,,,,,,,,,,,,,,,,,,,19.875,20.438,20.000,314200.000,-0.012346,,,120995.000,2.000,2.000,20.312,,-0.012346,-0.008,-0.008,-0.003,-0.003,-0.005
23536,2001/01/26,,11,1,4931,97665710,WEC,WISCONSIN ENERGY CORP,,,,N,A,R,21931,0,1,4911,92939U10,,,,,,,,,,,,,,,,,,,,,,,,,19.312,20.188,20.125,288200.000,0.006250,,,120995.000,2.000,2.000,19.812,,0.006250,-0.001,-0.001,0.002,0.002,-0.002
23536,2001/01/29,,11,1,4931,97665710,WEC,WISCONSIN ENERGY CORP,,,,N,A,R,21931,0,1,4911,92939U10,,,,,,,,,,,,,,,,,,,,,,,,,19.900,20.300,20.010,273000.000,-0.005714,,,120995.000,2.000,2.000,19.900,,-0.005714,0.009,0.009,0.010,0.010,0.007
