PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
89179,2004/12/01,2006/06/29,11,1,6324,94973V10,WLP,WELLPOINT INC,,WLP,524114,N,A,R,42273,0,1,6324,03675210,,,,,,,,2.000,63.000,632.000,,,,,,,,,,,,,,,103.500,109.420,109.100,6749000.000,0.076680,109.010,109.110,138789.000,2.000,2.000,103.500,,0.076680,0.014,0.014,0.010,0.010,0.015
89179,2004/12/02,,11,1,6324,94973V10,WLP,WELLPOINT INC,,WLP,524114,N,A,R,42273,0,1,6324,03675210,,,,,,,,,63.000,632.000,,,,,,,,,,,,,,,105.510,108.670,106.270,4090300.000,-0.025940,106.110,106.320,138789.000,2.000,2.000,108.000,,-0.025940,-0.002,-0.002,-0.001,-0.001,-0.001
89179,2004/12/03,,11,1,6324,94973V10,WLP,WELLPOINT INC,,WLP,524114,N,A,R,42273,0,1,6324,03675210,,,,,,,,,63.000,632.000,,,,,,,,,,,,,,,106.250,108.000,106.470,3202900.000,0.001882,106.470,106.570,138789.000,2.000,2.000,106.250,,0.001882,0.001,0.001,0.003,0.003,0.001
89179,2004/12/06,,11,1,6324,94973V10,WLP,WELLPOINT INC,,WLP,524114,N,A,R,42273,0,1,6324,03675210,,,,,,,,,63.000,632.000,,,,,,,,,,,,,,,104.010,107.250,106.800,3134900.000,0.003099,106.880,106.930,138789.000,2.000,2.000,106.470,,0.003099,-0.001,-0.001,-0.000,-0.000,-0.001
89179,2004/12/07,,11,1,6324,94973V10,WLP,WELLPOINT INC,,WLP,524114,N,A,R,42273,0,1,6324,03675210,,,,,,,,,63.000,632.000,,,,,,,,,,,,,,,102.500,107.300,102.900,3182900.000,-0.036517,102.920,102.980,138789.000,2.000,2.000,106.800,,-0.036517,-0.012,-0.012,-0.012,-0.012,-0.011
89179,2004/12/08,,11,1,6324,94973V10,WLP,WELLPOINT INC,,WLP,524114,N,A,R,42273,0,1,6324,03675210,,,,,,,,,63.000,632.000,,,,,,,,,,,,,,,102.980,106.180,105.870,2780800.000,0.028863,105.700,105.740,138789.000,2.000,2.000,103.000,,0.028863,0.004,0.004,0.003,0.003,0.005
89179,2004/12/09,,11,1,6324,94973V10,WLP,WELLPOINT INC,,WLP,524114,N,A,R,42273,0,1,6324,03675210,,,,,,,,,63.000,632.000,,,,,,,,,,,,,,,100.831,109.000,108.250,3427600.000,0.022480,108.220,108.310,138789.000,2.000,2.000,103.250,,0.022480,0.004,0.004,0.000,0.000,0.005
89179,2004/12/10,,11,1,6324,94973V10,WLP,WELLPOINT INC,,WLP,524114,N,A,R,42273,0,1,6324,03675210,,,,,,,,,63.000,632.000,,,,,,,,,,,,,,,107.480,114.300,113.100,5228900.000,0.044804,113.450,113.480,138789.000,2.000,2.000,107.480,,0.044804,-0.000,-0.000,0.003,0.003,-0.001
89179,2004/12/13,,11,1,6324,94973V10,WLP,WELLPOINT INC,,WLP,524114,N,A,R,42273,0,1,6324,03675210,,,,,,,,,63.000,632.000,,,,,,,,,,,,,,,111.510,117.750,117.000,7314600.000,0.034483,116.970,116.990,138789.000,2.000,2.000,112.050,,0.034483,0.009,0.008,0.007,0.007,0.009
89179,2004/12/14,,11,1,6324,94973V10,WLP,WELLPOINT INC,,WLP,524114,N,A,R,42273,0,1,6324,03675210,,,,,,,,,63.000,632.000,,,,,,,,,,,,,,,114.350,117.000,117.000,4145300.000,0.000000,116.610,116.810,138789.000,2.000,2.000,117.000,,0.000000,0.004,0.004,0.005,0.005,0.004
89179,2004/12/15,,11,1,6324,94973V10,WLP,WELLPOINT INC,,WLP,524114,N,A,R,42273,0,1,6324,03675210,,,,,,,,,63.000,632.000,,,,,,,,,,,,,,,116.210,117.490,116.750,1795200.000,-0.002137,116.740,116.750,138789.000,2.000,2.000,116.510,,-0.002137,0.004,0.004,0.006,0.006,0.002
89179,2004/12/16,,11,1,6324,94973V10,WLP,WELLPOINT INC,,WLP,524114,N,A,R,42273,0,1,6324,03675210,,,,,,,,,63.000,632.000,,,,,,,,,,,,,,,113.540,116.500,115.910,3841500.000,-0.007195,115.650,115.850,138789.000,2.000,2.000,116.500,,-0.007195,-0.003,-0.003,-0.003,-0.003,-0.002
