PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
55976,2001/01/02,,11,1,5311,93114210,WMT,WAL MART STORES INC,,,,N,A,R,21880,0,1,5331,93114210,,,,,,,,,,,,,,,,,,,,,,,,,52.688,55.062,53.875,8813600.000,0.014118,53.500,54.250,4466336.000,1.000,1.000,53.125,,0.014118,-0.034,-0.034,-0.001,-0.001,-0.028
55976,2001/01/03,,11,1,5311,93114210,WMT,WAL MART STORES INC,,,,N,A,R,21880,0,1,5331,93114210,,,,,,,,,,,,,,,,,,,,,,,,,52.938,58.750,58.438,19957100.000,0.084687,57.938,57.938,4466336.000,1.000,1.000,53.500,,0.084687,0.053,0.053,0.046,0.046,0.050
55976,2001/01/04,,11,1,5311,93114210,WMT,WAL MART STORES INC,,,,N,A,R,21880,0,1,5331,93114210,,,,,,,,,,,,,,,,,,,,,,,,,55.875,58.188,56.188,13815300.000,-0.038503,55.625,56.000,4466336.000,1.000,1.000,57.000,,-0.038503,-0.012,-0.012,0.011,0.011,-0.011
55976,2001/01/05,,11,1,5311,93114210,WMT,WAL MART STORES INC,,,,N,A,R,21880,0,1,5331,93114210,,,,,,,,,,,,,,,,,,,,,,,,,53.250,57.125,53.938,9809000.000,-0.040044,53.562,54.312,4466336.000,1.000,1.000,57.125,,-0.040044,-0.029,-0.029,-0.009,-0.009,-0.026
55976,2001/01/08,,11,1,5311,93114210,WMT,WAL MART STORES INC,,,,N,A,R,21880,0,1,5331,93114210,,,,,,,,,,,,,,,,,,,,,,,,,52.875,54.812,53.938,8442100.000,0.000000,53.562,54.312,4466336.000,1.000,1.000,53.000,,0.000000,-0.003,-0.004,-0.005,-0.005,-0.002
55976,2001/01/09,,11,1,5311,93114210,WMT,WAL MART STORES INC,,,,N,A,R,21880,0,1,5331,93114210,,,,,,,,,,,,,,,,,,,,,,,,,52.500,54.750,52.750,7210800.000,-0.022016,52.375,52.875,4466336.000,1.000,1.000,53.500,,-0.022016,0.005,0.005,0.012,0.012,0.004
55976,2001/01/10,,11,1,5311,93114210,WMT,WAL MART STORES INC,,,,N,A,R,21880,0,1,5331,93114210,,,,,,,,,,,,,,,,,,,,,,,,,50.500,52.062,51.688,9981800.000,-0.020142,51.312,52.062,4466336.000,1.000,1.000,50.938,,-0.020142,0.014,0.014,0.021,0.020,0.010
55976,2001/01/11,,11,1,5311,93114210,WMT,WAL MART STORES INC,,,,N,A,R,21880,0,1,5331,93114210,,,,,,,,,,,,,,,,,,,,,,,,,50.812,53.000,51.938,6702200.000,0.004837,51.562,52.312,4466336.000,1.000,1.000,51.938,,0.004837,0.015,0.015,0.027,0.027,0.010
55976,2001/01/12,,11,1,5311,93114210,WMT,WAL MART STORES INC,,,,N,A,R,21880,0,1,5331,93114210,,,,,,,,,,,,,,,,,,,,,,,,,51.625,53.750,52.938,7322000.000,0.019254,52.500,53.438,4466336.000,1.000,1.000,52.000,,0.019254,-0.004,-0.004,0.019,0.019,-0.006
55976,2001/01/16,,11,1,5311,93114210,WMT,WAL MART STORES INC,,,,N,A,R,21880,0,1,5331,93114210,,,,,,,,,,,,,,,,,,,,,,,,,53.188,54.812,54.688,8331500.000,0.033058,54.312,55.062,4466336.000,1.000,1.000,53.438,,0.033058,0.006,0.006,0.019,0.019,0.006
