PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
21186,2015/07/02,2018/12/31,11,1,5013,96145D10,WRK,WESTROCK CO,,WRK,423120,N,A,R,21913,0,1,5013,96145D10,,,,,,2015/07/02,2015/07/02,0.000,50.000,501.000,5523.000,0.000,-0.220,-0.220,,,,,,,,,,,62.400,65.000,64.990,1744987.000,0.049528,64.720,64.950,261700.000,1.113,1.000,63.000,,0.049528,-0.001,-0.001,-0.002,-0.002,-0.000
21186,2015/07/06,,11,1,5013,96145D10,WRK,WESTROCK CO,,WRK,423120,N,A,R,21913,0,1,5013,96145D10,,,,,,,,,50.000,501.000,,,,,,,,,,,,,,,62.990,66.400,63.750,2092257.000,-0.019080,63.740,63.750,261700.000,1.113,1.000,65.120,,-0.019080,-0.005,-0.005,-0.007,-0.007,-0.004
21186,2015/07/07,,11,1,5013,96145D10,WRK,WESTROCK CO,,WRK,423120,N,A,R,21913,0,1,5013,96145D10,,,,,,,,,50.000,501.000,,,,,,,,,,,,,,,61.540,63.990,62.470,3053125.000,-0.020078,62.470,62.510,261700.000,1.113,1.000,63.910,,-0.020078,0.005,0.005,-0.002,-0.002,0.006
21186,2015/07/08,,11,1,5013,96145D10,WRK,WESTROCK CO,,WRK,423120,N,A,R,21913,0,1,5013,96145D10,,,,,,,,,50.000,501.000,,,,,,,,,,,,,,,59.500,63.900,59.710,3784289.000,-0.044181,59.700,59.710,261700.000,1.113,1.000,62.500,,-0.044181,-0.017,-0.017,-0.017,-0.017,-0.017
21186,2015/07/09,,11,1,5013,96145D10,WRK,WESTROCK CO,,WRK,423120,N,A,R,21913,0,1,5013,96145D10,,,,,,,,,50.000,501.000,,,,,,,,,,,,,,,58.510,60.930,59.510,2284226.000,-0.003350,59.460,59.510,261700.000,1.113,1.000,59.500,,-0.003350,0.003,0.003,0.007,0.007,0.002
21186,2015/07/10,,11,1,5013,96145D10,WRK,WESTROCK CO,,WRK,423120,N,A,R,21913,0,1,5013,96145D10,,,,,,,,,50.000,501.000,,,,,,,,,,,,,,,59.400,61.600,61.400,2237703.000,0.031759,61.330,61.350,261700.000,1.113,1.000,59.970,,0.031759,0.013,0.013,0.012,0.012,0.012
21186,2015/07/13,,11,1,5013,96145D10,WRK,WESTROCK CO,,WRK,423120,N,A,R,21913,0,1,5013,96145D10,,,,,,,,,50.000,501.000,,,,,,,,,,,,,,,61.610,62.250,62.120,1248987.000,0.011726,62.070,62.080,261700.000,1.113,1.000,62.040,,0.011726,0.010,0.010,0.008,0.008,0.011
21186,2015/07/14,,11,1,5013,96145D10,WRK,WESTROCK CO,,WRK,423120,N,A,R,21913,0,1,5013,96145D10,,,,,,,,,50.000,501.000,,,,,,,,,,,,,,,61.440,63.050,62.190,994808.000,0.001127,62.170,62.180,261700.000,1.113,1.000,62.100,,0.001127,0.005,0.005,0.005,0.005,0.004
21186,2015/07/15,,11,1,5013,96145D10,WRK,WESTROCK CO,,WRK,423120,N,A,R,21913,0,1,5013,96145D10,,,,,,,,,50.000,501.000,,,,,,,,,,,,,,,61.130,62.930,61.620,1209854.000,-0.009165,61.640,61.660,261700.000,1.113,1.000,62.250,,-0.009165,-0.002,-0.003,-0.007,-0.007,-0.001
21186,2015/07/16,,11,1,5013,96145D10,WRK,WESTROCK CO,,WRK,423120,N,A,R,21913,0,1,5013,96145D10,,,,,,,,,50.000,501.000,,,,,,,,,,,,,,,61.536,63.680,62.320,1365863.000,0.011360,62.360,62.390,261700.000,1.113,1.000,61.700,,0.011360,0.007,0.007,0.004,0.004,0.008
21186,2015/07/17,,11,1,5013,96145D10,WRK,WESTROCK CO,,WRK,423120,N,A,R,21913,0,1,5013,96145D10,,,,,,,,,50.000,501.000,,,,,,,,,,,,,,,61.640,63.250,61.750,1213162.000,-0.009146,61.770,61.780,261700.000,1.113,1.000,62.620,,-0.009146,-0.001,-0.001,-0.004,-0.004,0.001
21186,2015/07/20,,11,1,5013,96145D10,WRK,WESTROCK CO,,WRK,423120,N,A,R,21913,0,1,5013,96145D10,,,,,,,,,50.000,501.000,,,,,,,,,,,,,,,61.500,62.930,61.550,1977775.000,-0.003239,61.550,61.580,261700.000,1.113,1.000,62.000,,-0.003239,-0.001,-0.001,-0.009,-0.009,0.001
21186,2015/07/21,,11,1,5013,96145D10,WRK,WESTROCK CO,,WRK,423120,N,A,R,21913,0,1,5013,96145D10,,,,,,,,,50.000,501.000,,,,,,,,,,,,,,,59.620,62.860,59.850,1808280.000,-0.027620,59.900,59.920,261700.000,1.113,1.000,61.840,,-0.027620,-0.004,-0.004,-0.002,-0.002,-0.004
21186,2015/07/22,,11,1,5013,96145D10,WRK,WESTROCK CO,,WRK,423120,N,A,R,21913,0,1,5013,96145D10,,,,,,,,,50.000,501.000,,,,,,,,,,,,,,,59.570,61.140,60.140,900133.000,0.004845,60.130,60.140,261700.000,1.113,1.000,60.350,,0.004845,-0.002,-0.002,-0.003,-0.003,-0.002
21186,2015/07/23,,11,1,5013,96145D10,WRK,WESTROCK CO,,WRK,423120,N,A,R,21913,0,1,5013,96145D10,,,,,,,,,50.000,501.000,,,,,,,,,,,,,,,59.350,60.780,59.850,1124672.000,-0.004822,59.820,59.830,261700.000,1.113,1.000,59.770,,-0.004822,-0.005,-0.006,-0.006,-0.006,-0.006
21186,2015/07/24,,11,1,5013,96145D10,WRK,WESTROCK CO,,WRK,423120,N,A,R,21913,0,1,5013,96145D10,,,,,,,,,50.000,501.000,,,,,,,,,,,,,,,57.660,59.950,58.910,1154608.000,-0.015706,58.900,58.910,261700.000,1.113,1.000,59.550,,-0.015706,-0.010,-0.010,-0.010,-0.010,-0.011
21186,2015/07/27,,11,1,5013,96145D10,WRK,WESTROCK CO,,WRK,423120,N,A,R,21913,0,1,5013,96145D10,,,,,,,,,50.000,501.000,,,,,,,,,,,,,,,57.865,59.420,58.190,1255150.000,-0.012222,58.270,58.290,261700.000,1.113,1.000,58.450,,-0.012222,-0.007,-0.007,-0.010,-0.010,-0.006
