PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
91461,2006/10/02,2011/06/12,11,1,6099,95980210,WU,WESTERN UNION CO,,WU,522320,N,A,R,51196,0,1,6099,95980210,,,,,,,,0.000,60.000,609.000,,,,,,,,,,,,,,,19.170,20.080,19.760,7111800.000,C,19.850,19.850,765600.000,1.000,1.000,19.200,,C,-0.004,-0.004,-0.006,-0.006,-0.003
91461,2006/10/03,,11,1,6099,95980210,WU,WESTERN UNION CO,,WU,522320,N,A,R,51196,0,1,6099,95980210,,,,,,,,,60.000,609.000,,,,,,,,,,,,,,,19.630,20.040,20.000,11417100.000,0.012146,20.020,20.040,765600.000,1.000,1.000,19.890,,0.012146,-0.000,-0.000,-0.003,-0.003,0.002
91461,2006/10/04,,11,1,6099,95980210,WU,WESTERN UNION CO,,WU,522320,N,A,R,51196,0,1,6099,95980210,,,,,,,,,60.000,609.000,,,,,,,,,,,,,,,19.500,20.050,19.780,10722800.000,-0.011000,19.760,19.780,765600.000,1.000,1.000,20.000,,-0.011000,0.012,0.012,0.011,0.011,0.012
91461,2006/10/05,,11,1,6099,95980210,WU,WESTERN UNION CO,,WU,522320,N,A,R,51196,0,1,6099,95980210,,,,,,,,,60.000,609.000,,,,,,,,,,,,,,,19.590,19.950,19.640,8782400.000,-0.007078,19.630,19.640,765600.000,1.000,1.000,19.950,,-0.007078,0.005,0.005,0.009,0.008,0.002
91461,2006/10/06,,11,1,6099,95980210,WU,WESTERN UNION CO,,WU,522320,N,A,R,51196,0,1,6099,95980210,,,,,,,,,60.000,609.000,,,,,,,,,,,,,,,19.320,19.780,19.570,6282100.000,-0.003564,19.570,19.600,765600.000,1.000,1.000,19.700,,-0.003564,-0.003,-0.003,-0.001,-0.001,-0.003
91461,2006/10/09,,11,1,6099,95980210,WU,WESTERN UNION CO,,WU,522320,N,A,R,51196,0,1,6099,95980210,,,,,,,,,60.000,609.000,,,,,,,,,,,,,,,19.510,19.960,19.730,3518000.000,0.008176,19.730,19.760,765600.000,1.000,1.000,19.900,,0.008176,0.002,0.002,0.004,0.004,0.001
91461,2006/10/10,,11,1,6099,95980210,WU,WESTERN UNION CO,,WU,522320,N,A,R,51196,0,1,6099,95980210,,,,,,,,,60.000,609.000,,,,,,,,,,,,,,,19.500,19.820,19.710,6132200.000,-0.001014,19.710,19.740,765600.000,1.000,1.000,19.580,,-0.001014,0.002,0.002,0.003,0.003,0.002
91461,2006/10/11,,11,1,6099,95980210,WU,WESTERN UNION CO,,WU,522320,N,A,R,51196,0,1,6099,95980210,,,,,,,,,60.000,609.000,,,,,,,,,,,,,,,19.280,19.680,19.310,9504800.000,-0.020294,19.290,19.300,765600.000,1.000,1.000,19.680,,-0.020294,-0.004,-0.004,-0.003,-0.003,-0.003
91461,2006/10/12,,11,1,6099,95980210,WU,WESTERN UNION CO,,WU,522320,N,A,R,51196,0,1,6099,95980210,,,,,,,,,60.000,609.000,,,,,,,,,,,,,,,18.950,19.420,19.030,8323700.000,-0.014500,19.010,19.020,765600.000,1.000,1.000,19.420,,-0.014500,0.011,0.011,0.013,0.013,0.010
91461,2006/10/13,,11,1,6099,95980210,WU,WESTERN UNION CO,,WU,522320,N,A,R,51196,0,1,6099,95980210,,,,,,,,,60.000,609.000,,,,,,,,,,,,,,,18.570,19.020,18.870,10659500.000,-0.008408,18.880,18.890,765600.000,1.000,1.000,19.000,,-0.008408,0.003,0.003,0.005,0.005,0.002
