PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
89070,2015/06/29,2018/12/31,11,1,3842,98956P10,ZBH,ZIMMER BIOMET HOLDINGS INC,,ZBH,339113,N,A,R,41870,0,1,3842,98956P10,,,,,,,,2.000,38.000,384.000,,,,,,,,,,,,,,,97.480,114.410,109.290,1562088.000,-0.037601,109.310,109.330,170402.000,1.000,1.000,107.000,,-0.037601,-0.022,-0.022,-0.021,-0.021,-0.021
89070,2015/06/30,,11,1,3842,98956P10,ZBH,ZIMMER BIOMET HOLDINGS INC,,ZBH,339113,N,A,R,41870,0,1,3842,98956P10,,,,,,,,0.000,38.000,384.000,,,,,,,,,,,,,,,108.750,110.900,109.230,2225280.000,-0.000549,108.930,108.940,203106.000,1.000,1.000,110.500,,-0.000549,0.003,0.003,0.004,0.004,0.003
89070,2015/07/01,,11,1,3842,98956P10,ZBH,ZIMMER BIOMET HOLDINGS INC,,ZBH,339113,N,A,R,41870,0,1,3842,98956P10,,,,,,,,,38.000,384.000,,,,,,,,,,,,,,,109.010,111.350,109.210,1240381.000,-0.000183,109.180,109.200,203106.000,1.000,1.000,110.000,,-0.000183,0.005,0.005,-0.000,-0.000,0.007
89070,2015/07/02,,11,1,3842,98956P10,ZBH,ZIMMER BIOMET HOLDINGS INC,,ZBH,339113,N,A,R,41870,0,1,3842,98956P10,,,,,,,,,38.000,384.000,,,,,,,,,,,,,,,107.000,110.980,108.190,1402447.000,-0.009340,108.160,108.190,203106.000,1.000,1.000,110.000,,-0.009340,-0.001,-0.001,-0.002,-0.002,-0.000
89070,2015/07/06,,11,1,3842,98956P10,ZBH,ZIMMER BIOMET HOLDINGS INC,,ZBH,339113,N,A,R,41870,0,1,3842,98956P10,,,,,,,,,38.000,384.000,,,,,,,,,,,,,,,107.610,109.540,108.790,1524480.000,0.005546,108.880,108.920,203106.000,1.000,1.000,108.190,,0.005546,-0.005,-0.005,-0.007,-0.007,-0.004
89070,2015/07/07,,11,1,3842,98956P10,ZBH,ZIMMER BIOMET HOLDINGS INC,,ZBH,339113,N,A,R,41870,0,1,3842,98956P10,,,,,,,,,38.000,384.000,,,,,,,,,,,,,,,107.990,109.820,109.770,795821.000,0.009008,109.730,109.780,203106.000,1.000,1.000,108.900,,0.009008,0.005,0.005,-0.002,-0.002,0.006
89070,2015/07/08,,11,1,3842,98956P10,ZBH,ZIMMER BIOMET HOLDINGS INC,,ZBH,339113,N,A,R,41870,0,1,3842,98956P10,,,,,,,,,38.000,384.000,,,,,,,,,,,,,,,107.710,109.290,107.940,1127310.000,-0.016671,107.970,108.030,203106.000,1.000,1.000,108.580,,-0.016671,-0.017,-0.017,-0.017,-0.017,-0.017
89070,2015/07/09,,11,1,3842,98956P10,ZBH,ZIMMER BIOMET HOLDINGS INC,,ZBH,339113,N,A,R,41870,0,1,3842,98956P10,,,,,,,,,38.000,384.000,,,,,,,,,,,,,,,106.770,109.490,106.840,1244368.000,-0.010191,106.780,106.810,203106.000,1.000,1.000,109.000,,-0.010191,0.003,0.003,0.007,0.007,0.002
89070,2015/07/10,,11,1,3842,98956P10,ZBH,ZIMMER BIOMET HOLDINGS INC,,ZBH,339113,N,A,R,41870,0,1,3842,98956P10,,,,,,,,,38.000,384.000,,,,,,,,,,,,,,,106.670,108.930,106.810,1893155.000,-0.000281,106.740,106.750,203106.000,1.000,1.000,107.850,,-0.000281,0.013,0.013,0.012,0.012,0.012
89070,2015/07/13,,11,1,3842,98956P10,ZBH,ZIMMER BIOMET HOLDINGS INC,,ZBH,339113,N,A,R,41870,0,1,3842,98956P10,,,,,,,,,38.000,384.000,,,,,,,,,,,,,,,107.110,108.450,107.630,959630.000,0.007677,107.570,107.580,203106.000,1.000,1.000,107.270,,0.007677,0.010,0.010,0.008,0.008,0.011
